library_id,median_nreads_per_cell,std_nreads_per_cell,median_coverage_depth,std_coverage_depth,median_coverage_breadth,std_coverage_breadth,median_quality,std_quality
A95697A,2841239.5,1406807.3852961,0.0614615,0.0329771576542702,0.05603633518885,0.0296366126385714,0.992,0.0492896202731028
A95721B,3700672,1109199.0016144,0.094194,0.0278280421922952,0.08703805437075,0.0239233430621496,0.998,0.0276181790964703
A95731A,4823012,1492446.97065295,0.125682,0.0369740322690783,0.11435921631,0.0315387714907467,1,0.0284187288656594
A96121A,4028147.5,1109083.18415153,0.0976645,0.024995333946817,0.0900480953786,0.0218371460418356,0.998,0.0225158846764125
A96201B,793408,1589934.74120672,0.022261,0.0408195703078713,0.0213552480335,0.0367464080493467,0.982,0.0514817565988377
A96253A,1024872.5,259572.105016142,0.0194695,0.00492361493870528,0.01874216645245,0.00470320347629857,0.984,0.0700985485401946
A98163A,1325406,378944.039660056,0.037866,0.010662362043791,0.0362575875378285,0.010026793695453,0.998,0.0448682574228209
A98165A,836018,216830.774922041,0.018919,0.00546963960336573,0.0182232177759317,0.0051962035733894,0.992,0.0376980369428812
A98169A,2941254,715813.319325889,0.073995,0.0168770332017816,0.0685572661514668,0.0150116940355175,1,0.0254721003553483
A98169B,4010076,1265025.27106287,0.099626,0.0329559408440076,0.0912310901709786,0.0275345407744135,1,0.0438239615717605
A98174A,1968861,630528.910490799,0.048822,0.0146755096024723,0.045797956142278,0.0134643039978763,1,0.0222767807876021
A98194A,3288977.5,4131922.61442788,0.0785875,0.0946823051076599,0.0704047627655,0.0837909562302288,0.982,0.00282842712474619
A98194B,5514717,1720977.33575787,0.143375,0.0431181991268226,0.129068928111,0.0358233369848889,0.996,0.062158969971298
A98197A,5630503,2373484.7778224,0.101334,0.043791292155478,0.0930101324388184,0.0386334671326148,0.994,0.0473361974013078
A98197B,2247408,645909.773077632,0.04884,0.0172565578661221,0.046372820877958,0.0155771016972763,0.996,0.0326094669216821
A98210A,1132598,313220.600487579,0.024127,0.00767802133505468,0.0232336101379004,0.00724339928660008,1,0.015849534565411
A98232A,2647302,827833.229514301,0.067219,0.0211017696279293,0.0629978120352794,0.0192792419026768,0.924,0.0726446292938588
A98244A,1205709,248251.082677557,0.030142,0.00624548939573141,0.0288613719926326,0.00587550408788849,0.994,0.0370608888407817
A98254A,962538,279216.879467335,0.027657,0.00768227014387061,0.0266215061735537,0.00728385845237708,0.885,0.0864514188783906
A98261A,1946632,902062.401060488,0.055203,0.0220200902877207,0.0522492533814637,0.0200889051041391,0.99,0.0795634016059874
A98262B,2281455,861687.126190702,0.060387,0.0216897977856936,0.0570842325934,0.0200219382659016,0.996,0.0712749914199495
A98269A,4079878,1627721.31982275,0.103535,0.0386105048351922,0.0953542746614,0.034033867474549,0.998,0.0132853447403748
A98277A,1875607.5,681591.721881084,0.0353975,0.0127217208148533,0.0340276301404,0.0120152431811597,0.998,0.0417740402224628
A98277B,3897853,1667043.10948262,0.069498,0.028496664513254,0.0654265972525,0.0257901881574979,0.998,0.010239047574755
A98282B,1992723,644043.8402793,0.05107,0.0160025381866961,0.0484576494201,0.0148655307228692,0.924,0.0760740330428285
A98294B,3991810,3250167.82983816,0.091109,0.0692743418452381,0.0827497873477,0.0584581236847382,0.998,0.0239165214862028
A98296A,4537498,2163617.53919529,0.111885,0.0501647857258782,0.101929943877,0.0440031036454087,0.998,0.0559000005625499
A98303A,3891817,1557746.70473828,0.09408,0.0343965053298291,0.0869056105851046,0.030383919225078,1,0.0173602507295518
