,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1796,1.72E+02,2.0199509,0.4660099,4.334567,1.46E-05,1.64E-04,ENSG00000144182,LIPT1
2150,1.63E+03,2.0185691,0.7748135,2.605232,9.18E-03,3.83E-02,ENSG00000159921,GNE
1704,5.63E+01,2.0168962,0.7072661,2.85168,4.35E-03,2.11E-02,ENSG00000141968,VAV1
1806,7.21E+01,2.0112243,0.7296573,2.756396,5.84E-03,2.67E-02,ENSG00000144668,ITGA9
410,1.10E+03,2.0090816,0.2845281,7.0611,1.65E-12,5.94E-11,ENSG00000095637,SORBS1
3442,4.91E+02,2.0044966,0.4775655,4.197323,2.70E-05,2.82E-04,ENSG00000198825,INPP5F
2264,6.55E+01,2.0027171,0.6323241,3.167232,1.54E-03,9.06E-03,ENSG00000163154,TNFAIP8L2
1805,2.75E+02,1.9996331,0.3736566,5.351526,8.72E-08,1.59E-06,ENSG00000144644,GADL1
655,1.14E+02,1.9954687,0.5882283,3.392337,6.93E-04,4.62E-03,ENSG00000105617,LENG1
233,3.91E+02,1.9905061,0.5371901,3.705404,2.11E-04,1.67E-03,ENSG00000070961,ATP2B1
1234,8.79E+01,1.9903684,0.7323382,2.717827,6.57E-03,2.94E-02,ENSG00000126733,DACH2
2996,1.26E+02,1.9899703,0.5435224,3.661248,2.51E-04,1.94E-03,ENSG00000180353,HCLS1
3808,2.17E+02,1.9814265,0.4982104,3.977088,6.98E-05,6.38E-04,ENSG00000257591,ZNF625
3537,4.17E+02,1.9769793,0.3105134,6.366808,1.93E-10,5.33E-09,ENSG00000204599,TRIM39
1968,1.50E+03,1.9730064,0.4996435,3.948828,7.85E-05,7.08E-04,ENSG00000151338,MIPOL1
2717,3.25E+02,1.9670007,0.457807,4.296571,1.73E-05,1.90E-04,ENSG00000172260,NEGR1
2037,6.94E+01,1.9633243,0.6850113,2.86612,4.16E-03,2.03E-02,ENSG00000154822,PLCL2
1765,3.79E+03,1.9568914,0.477019,4.102334,4.09E-05,4.07E-04,ENSG00000143614,GATAD2B
2466,5.12E+01,1.9562958,0.7083973,2.76158,5.75E-03,2.64E-02,ENSG00000166840,GLYATL1
1020,2.59E+03,1.9531735,0.459202,4.253408,2.11E-05,2.27E-04,ENSG00000118523,CCN2
1109,1.78E+04,1.9466014,0.3420997,5.690158,1.27E-08,2.72E-07,ENSG00000122218,COPA
3130,1.02E+03,1.9442538,0.3784377,5.137579,2.78E-07,4.63E-06,ENSG00000184545,DUSP8
3585,8.98E+01,1.9440837,0.6076588,3.199301,1.38E-03,8.24E-03,ENSG00000212993,POU5F1B
1625,2.47E+02,1.9428509,0.5539701,3.50714,4.53E-04,3.22E-03,ENSG00000139318,DUSP6
871,6.94E+02,1.9405197,0.4380958,4.429442,9.45E-06,1.11E-04,ENSG00000112855,HARS2
333,1.08E+03,1.937448,0.3447594,5.61971,1.91E-08,3.96E-07,ENSG00000085491,SLC25A24
1580,1.48E+02,1.9372606,0.740959,2.614531,8.93E-03,3.76E-02,ENSG00000137878,GCOM1
1867,6.22E+01,1.9348752,0.7510463,2.576239,9.99E-03,4.11E-02,ENSG00000147113,DIPK2B
