clone_id,A,B,C,kflux,m_param
Primary_X7_X08472112254,0.331521739130435,0.657608695652174,0.0108695652173913,NaN,1
VentralSpinal_X7_X08472112254,0.03125,0.9375,0.03125,2.7994140625,1
