clone_id,A,B,C,kflux,m_param
Primary_X7_X08472112253,0.0204841713221601,0.93854748603352,0.0409683426443203,NaN,1
VentralSpinal_X7_X08472112253,0.00272851296043656,0.034106412005457,0.963165075034106,0.62109375,1
