baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_symbol,chr,DE_comparison
165.97,-1.12,0.39,-2.89,0.0038,0.0374,ENSG00000175899,A2M,12,Bmet_Bpri
72.99,-1.17,0.54,-2.15,0.0315,0.15568,ENSG00000176595,KBTBD11,8,Bmet_Bpri
146.8,1.04,0.46,2.29,0.02207,0.12398,ENSG00000176697,BDNF,11,Bmet_Bpri
69.52,1.66,0.68,2.46,0.01406,0.09202,ENSG00000176884,GRIN1,9,Bmet_Bpri
83.1,2.44,0.51,4.78,0,7e-05,ENSG00000176887,SOX11,2,Bmet_Bpri
45.49,-1.92,0.74,-2.58,0.00975,0.072,ENSG00000177076,ACER2,9,Bmet_Bpri
1211.57,-1.05,0.24,-4.33,2e-05,0.00045,ENSG00000177119,ANO6,12,Bmet_Bpri
395.08,3.84,0.33,11.58,0,0,ENSG00000177238,TRIM72,16,Bmet_Bpri
119.95,1.52,0.46,3.31,0.00093,0.01278,ENSG00000177283,FZD8,10,Bmet_Bpri
1274.05,1.47,0.25,5.83,0,0,ENSG00000177469,CAVIN1,17,Bmet_Bpri
4677.6,1.08,0.19,5.6,0,0,ENSG00000177685,CRACR2B,11,Bmet_Bpri
505.11,3.75,0.33,11.52,0,0,ENSG00000177791,MYOZ1,10,Bmet_Bpri
23.64,2.78,0.95,2.93,0.00334,0.03417,ENSG00000178597,PSAPL1,4,Bmet_Bpri
533.11,1.07,0.4,2.64,0.00822,0.06407,ENSG00000178773,CPNE7,16,Bmet_Bpri
236.29,-1.74,0.33,-5.2,0,1e-05,ENSG00000178776,C5orf46,5,Bmet_Bpri
29.71,1.91,0.78,2.43,0.01491,0.09538,ENSG00000178821,TMEM52,1,Bmet_Bpri
58.48,-1.4,0.59,-2.39,0.01701,0.104,ENSG00000179542,SLITRK4,X,Bmet_Bpri
89.23,2.16,0.56,3.86,0.00011,0.00232,ENSG00000179776,CDH5,16,Bmet_Bpri
14.5,2.28,1.15,1.98,0.04731,,ENSG00000179796,LRRC3B,3,Bmet_Bpri
67,1.47,0.64,2.29,0.02175,0.12254,ENSG00000179954,SSC5D,19,Bmet_Bpri
23.37,1.79,0.87,2.05,0.03989,0.18096,ENSG00000180287,PLD5,1,Bmet_Bpri
41.68,-1.69,0.68,-2.5,0.01253,0.08508,ENSG00000180535,BHLHA15,7,Bmet_Bpri
594,-1.81,0.87,-2.08,0.03741,0.17392,ENSG00000180667,YOD1,1,Bmet_Bpri
90.01,1.02,0.47,2.19,0.02872,0.14763,ENSG00000180739,S1PR5,19,Bmet_Bpri
303.46,-1.06,0.36,-2.92,0.00345,0.035,ENSG00000180776,ZDHHC20,13,Bmet_Bpri
187.03,1.92,0.36,5.36,0,1e-05,ENSG00000180828,BHLHE22,8,Bmet_Bpri
89.64,-1.63,0.48,-3.43,6e-04,0.0091,ENSG00000180988,OR52N2,11,Bmet_Bpri
92.3,-1.05,0.46,-2.29,0.02186,0.12306,ENSG00000181418,DDN,12,Bmet_Bpri
208.97,-1.9,0.37,-5.19,0,1e-05,ENSG00000181458,TMEM45A,3,Bmet_Bpri
6.1,5.15,2.35,2.19,0.02863,,ENSG00000181541,MAB21L2,4,Bmet_Bpri
560.24,1.94,0.27,7.33,0,0,ENSG00000181722,ZBTB20,3,Bmet_Bpri
315.81,1.86,0.31,6,0,0,ENSG00000182463,TSHZ2,20,Bmet_Bpri
6201.14,1.81,0.29,6.31,0,0,ENSG00000182492,BGN,X,Bmet_Bpri
246.86,1.01,0.37,2.73,0.00643,0.05441,ENSG00000182521,TBPL2,14,Bmet_Bpri
38.36,6.81,1.28,5.3,0,1e-05,ENSG00000182533,CAV3,3,Bmet_Bpri
27.34,-2.16,0.82,-2.63,0.00846,0.06527,ENSG00000182585,EPGN,4,Bmet_Bpri
92.12,1.65,0.57,2.89,0.00385,0.03776,ENSG00000182636,NDN,15,Bmet_Bpri
