baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_symbol,chr,DE_comparison
623.34,1.41,0.35,4.01,6e-05,0.00146,ENSG00000215252,GOLGA8B,15,Bmet_Bpri
56.37,4.25,0.84,5.07,0,2e-05,ENSG00000218336,TENM3,4,Bmet_Bpri
49.73,2.2,0.72,3.04,0.00236,0.02656,ENSG00000219438,FAM19A5,22,Bmet_Bpri
25.57,-4.72,1.14,-4.13,4e-05,0.00095,ENSG00000221874,ZNF816-ZNF321P,19,Bmet_Bpri
154.29,1.13,0.38,3.01,0.00265,0.02859,ENSG00000228727,SAPCD1,6,Bmet_Bpri
57.3,-1.46,0.61,-2.37,0.01781,0.10749,ENSG00000229544,NKX1-2,10,Bmet_Bpri
1311.94,1.47,0.33,4.53,1e-05,0.00021,ENSG00000232804,HSPA1B,CHR_HSCHR6_MHC_APD_CTG1,Bmet_Bpri
638.89,1.38,0.24,5.72,0,0,ENSG00000233024,AC126755.2,16,Bmet_Bpri
17.68,2.2,1.03,2.15,0.03195,0.15708,ENSG00000234965,SHISA8,22,Bmet_Bpri
21.46,3.78,1.14,3.31,0.00095,0.01303,ENSG00000237452,BHMG1,19,Bmet_Bpri
264.15,4.18,0.41,10.3,0,0,ENSG00000239474,KLHL41,2,Bmet_Bpri
1026.43,1.31,0.29,4.56,1e-05,0.00018,ENSG00000240583,AQP1,7,Bmet_Bpri
161.79,1.68,0.48,3.47,0.00052,0.00806,ENSG00000240764,PCDHGC5,5,Bmet_Bpri
41.8,1.63,0.68,2.4,0.01627,0.10123,ENSG00000241241,KRTAP4-16,17,Bmet_Bpri
879.62,-1.61,0.27,-5.87,0,0,ENSG00000241258,CRCP,7,Bmet_Bpri
91.84,1.1,0.47,2.35,0.01854,0.11055,ENSG00000241644,INMT,7,Bmet_Bpri
197.29,1.54,0.37,4.17,3e-05,0.00081,ENSG00000241978,AKAP2,9,Bmet_Bpri
47.13,1.5,0.65,2.3,0.02136,0.12122,ENSG00000242252,BGLAP,1,Bmet_Bpri
61.77,-1.47,0.55,-2.66,0.0078,0.06204,ENSG00000242715,CCDC169,13,Bmet_Bpri
70.75,1.47,0.59,2.52,0.01184,0.08209,ENSG00000242852,ZNF709,19,Bmet_Bpri
762.65,-1.16,0.27,-4.29,2e-05,0.00051,ENSG00000243244,STON1,2,Bmet_Bpri
311.71,-1.3,0.34,-3.86,0.00011,0.00231,ENSG00000243649,CFB,6,Bmet_Bpri
49.14,9.61,1.69,5.69,0,0,ENSG00000244255,AL645922.1,6,Bmet_Bpri
32.3,1.59,0.77,2.07,0.03857,0.17723,ENSG00000248713,AC083902.2,4,Bmet_Bpri
559.37,8.79,1.84,4.77,0,8e-05,ENSG00000248746,ACTN3,11,Bmet_Bpri
114.04,-1.26,0.5,-2.5,0.01233,0.08409,ENSG00000249158,PCDHA11,5,Bmet_Bpri
86.12,-3.49,0.78,-4.47,1e-05,0.00027,ENSG00000250264,AL669918.1,6,Bmet_Bpri
29.76,-1.74,0.88,-1.98,0.04818,0.20324,ENSG00000250709,CCDC169-SOHLH2,13,Bmet_Bpri
38.63,9.27,1.62,5.73,0,0,ENSG00000251569,AC093899.2,2,Bmet_Bpri
110.78,1.1,0.55,2,0.04604,0.19698,ENSG00000253159,PCDHGA12,5,Bmet_Bpri
72.64,1.25,0.54,2.33,0.01981,0.11513,ENSG00000253293,HOXA10,7,Bmet_Bpri
142.65,1.14,0.47,2.4,0.01629,0.10123,ENSG00000253537,PCDHGA7,5,Bmet_Bpri
171.36,1.09,0.36,3.04,0.00233,0.02632,ENSG00000253910,PCDHGB2,5,Bmet_Bpri
342.73,-1.78,0.32,-5.66,0,0,ENSG00000254685,FPGT,1,Bmet_Bpri
500.28,1.68,0.3,5.67,0,0,ENSG00000254996,ANKHD1-EIF4EBP3,5,Bmet_Bpri
7.2,6.84,2.73,2.51,0.01203,,ENSG00000256500,AL139300.1,14,Bmet_Bpri
24.44,-1.84,0.88,-2.1,0.03611,0.17041,ENSG00000256812,CAPNS2,16,Bmet_Bpri
21.08,1.82,0.93,1.97,0.04924,0.20613,ENSG00000257017,HP,16,Bmet_Bpri
110.22,1.07,0.45,2.35,0.01859,0.1107,ENSG00000257390,AC023055.1,12,Bmet_Bpri
23.61,-3.53,1.24,-2.85,0.00444,0.04182,ENSG00000257411,AC034102.2,12,Bmet_Bpri
470.11,1.1,0.25,4.37,1e-05,0.00039,ENSG00000257704,INAFM1,19,Bmet_Bpri
318.93,-1.21,0.36,-3.35,8e-04,0.01132,ENSG00000257743,MGAM2,7,Bmet_Bpri
498.22,1.57,0.28,5.71,0,0,ENSG00000258130,AC106782.1,16,Bmet_Bpri
22.71,-8.63,1.72,-5.02,0,3e-05,ENSG00000258529,AP001781.3,11,Bmet_Bpri
25.67,-2.05,0.94,-2.18,0.02904,0.14836,ENSG00000258643,BCL2L2-PABPN1,14,Bmet_Bpri
786.79,1.25,0.33,3.77,0.00016,0.00315,ENSG00000258947,TUBB3,16,Bmet_Bpri
14.23,7.83,1.86,4.21,3e-05,,ENSG00000259040,BLOC1S5-TXNDC5,6,Bmet_Bpri
48.94,9.61,1.58,6.08,0,0,ENSG00000259132,AL132780.3,14,Bmet_Bpri
21.79,4.14,1.05,3.93,9e-05,0.00188,ENSG00000259371,AL136295.3,14,Bmet_Bpri
4.66,-6.34,3.05,-2.07,0.038,,ENSG00000260007,AC107871.1,15,Bmet_Bpri
22.71,-3.02,1.19,-2.54,0.01098,0.07819,ENSG00000260537,AC012184.2,16,Bmet_Bpri
79.5,-1.11,0.53,-2.09,0.03626,0.17072,ENSG00000261115,TMEM178B,7,Bmet_Bpri
172.23,1.1,0.38,2.92,0.00351,0.03547,ENSG00000261915,AC026954.2,17,Bmet_Bpri
2754.03,1.5,0.28,5.33,0,1e-05,ENSG00000263563,UBBP4,17,Bmet_Bpri
5309.62,10.23,1.62,6.31,0,0,ENSG00000264424,MYH4,17,Bmet_Bpri
15.16,3.65,1.4,2.61,0.00914,0.0687,ENSG00000265303,AC099850.2,17,Bmet_Bpri
368.79,1.68,0.32,5.27,0,1e-05,ENSG00000266964,FXYD1,19,Bmet_Bpri
34.11,9.09,1.69,5.37,0,0,ENSG00000266997,AC090227.1,18,Bmet_Bpri
2073.57,1.26,0.24,5.27,0,1e-05,ENSG00000267303,AC011511.4,19,Bmet_Bpri
25.63,-2.55,0.9,-2.84,0.00456,0.04262,ENSG00000267314,AC104532.1,19,Bmet_Bpri
4.2,-6.19,3.13,-1.98,0.04783,,ENSG00000267645,POLR2J2,7,Bmet_Bpri
15.83,-8.11,1.82,-4.44,1e-05,0.00029,ENSG00000267699,AC091551.1,18,Bmet_Bpri
79.05,-1.18,0.52,-2.28,0.0224,0.12511,ENSG00000267740,AC024592.3,19,Bmet_Bpri
4.33,-6.24,2.65,-2.36,0.01851,,ENSG00000268043,NBPF12,1,Bmet_Bpri
69.73,1.6,0.58,2.76,0.0057,0.04991,ENSG00000269113,TRABD2B,1,Bmet_Bpri
832.72,1.67,0.35,4.79,0,7e-05,ENSG00000269242,AC010422.3,19,Bmet_Bpri
318.35,-1.26,0.48,-2.64,0.00829,0.06437,ENSG00000269955,C7orf55-LUC7L2,7,Bmet_Bpri
1272.2,-3.45,0.37,-9.29,0,0,ENSG00000270149,AL591806.3,1,Bmet_Bpri
91.26,-23.3,4.79,-4.87,0,5e-05,ENSG00000270181,BIVM-ERCC5,13,Bmet_Bpri
443.29,-1.7,0.28,-6.06,0,0,ENSG00000272921,AC005832.4,12,Bmet_Bpri
249.15,1.24,0.46,2.72,0.00645,0.05449,ENSG00000273154,AL121845.3,20,Bmet_Bpri
86.19,1.8,0.52,3.46,0.00054,0.00832,ENSG00000273707,CDKN1C,CHR_HSCHR11_1_CTG7,Bmet_Bpri
383.71,-1.99,0.36,-5.47,0,0,ENSG00000274276,CBSL,21,Bmet_Bpri
49.3,5.6,0.9,6.22,0,0,ENSG00000274529,SEBOX,17,Bmet_Bpri
412.41,-1.08,0.26,-4.17,3e-05,0.00083,ENSG00000277462,ZNF670,1,Bmet_Bpri
152.55,-1.48,0.37,-3.95,8e-05,0.00177,ENSG00000278224,PRICKLE4,6,Bmet_Bpri
2526.67,-1.51,0.29,-5.15,0,1e-05,ENSG00000280987,MATR3,5,Bmet_Bpri
22.58,-1.81,0.91,-2,0.04505,0.19454,ENSG00000281028,AC104662.2,4,Bmet_Bpri
289.5,1.23,0.38,3.21,0.00134,0.01701,ENSG00000283149,AC068631.2,3,Bmet_Bpri
