baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,DE_comparison,gene_symbol,chr
51.19,2.13,0.88,2.43,0.01529,0.04679,ENSG00000095370,Bmet_Apri,SH2D3C,9
12.96,1.27,0.63,2,0.04594,0.11146,ENSG00000095464,Bmet_Apri,PDE6C,10
2232.17,-1.17,0.3,-3.95,8e-05,0.00061,ENSG00000095564,Bmet_Apri,BTAF1,10
17.85,1.14,1.13,1.02,0.31005,0.46308,ENSG00000095596,Bmet_Apri,CYP26A1,10
10.42,-2.83,0.95,-2.98,0.00285,0.01215,ENSG00000095627,Bmet_Apri,TDRD1,10
2.49,1.76,2.43,0.73,0.46711,0.61258,ENSG00000095713,Bmet_Apri,CRTAC1,10
41.33,1.19,0.32,3.69,0.00022,0.00149,ENSG00000095752,Bmet_Apri,IL11,19
0.23,-1.52,4.08,-0.37,0.70994,,ENSG00000095981,Bmet_Apri,KCNK16,6
0.46,-2.5,4.07,-0.61,0.53955,,ENSG00000096088,Bmet_Apri,PGC,6
2.58,1.08,1.52,0.71,0.47711,0.6214,ENSG00000096395,Bmet_Apri,MLN,6
1062.29,-2.3,0.69,-3.35,0.00081,0.00437,ENSG00000099290,Bmet_Apri,WASHC2A,10
9.7,1.46,0.84,1.74,0.08101,0.1723,ENSG00000099617,Bmet_Apri,EFNA2,19
3680.79,1.4,0.3,4.67,0,4e-05,ENSG00000099624,Bmet_Apri,ATP5F1D,19
9990.98,1.01,0.19,5.24,0,0,ENSG00000099797,Bmet_Apri,TECR,19
24.13,1.9,0.88,2.17,0.03009,0.08023,ENSG00000099822,Bmet_Apri,HCN2,19
14.02,1.26,0.81,1.56,0.11872,0.23087,ENSG00000099834,Bmet_Apri,CDHR5,11
2174.81,1.13,0.61,1.85,0.06376,0.14359,ENSG00000099849,Bmet_Apri,RASSF7,11
1118.1,-1.82,0.55,-3.32,0.00091,0.00477,ENSG00000099889,Bmet_Apri,ARVCF,22
29.66,-2.32,1.15,-2.02,0.04383,0.10772,ENSG00000099954,Bmet_Apri,CECR2,22
1804.64,1.58,1.57,1.01,0.31384,0.46729,ENSG00000099956,Bmet_Apri,SMARCB1,22
7.33,-2.3,1.08,-2.14,0.0325,0.0853,ENSG00000099957,Bmet_Apri,P2RX6,22
385.47,1.42,0.49,2.9,0.00373,0.01505,ENSG00000099958,Bmet_Apri,DERL3,22
0.52,-2.5,4.04,-0.62,0.53613,,ENSG00000099985,Bmet_Apri,OSM,22
115.95,1.63,0.26,6.35,0,0,ENSG00000099994,Bmet_Apri,SUSD2,22
163.79,-2.3,0.56,-4.12,4e-05,0.00035,ENSG00000100003,Bmet_Apri,SEC14L2,22
5.97,-3.04,1.82,-1.66,0.09601,0.19564,ENSG00000100012,Bmet_Apri,SEC14L3,22
74.18,-1.93,0.39,-4.96,0,1e-05,ENSG00000100024,Bmet_Apri,UPB1,22
3517.55,-1.3,0.3,-4.33,1e-05,0.00015,ENSG00000100083,Bmet_Apri,GGA1,22
7226.52,1.37,0.24,5.69,0,0,ENSG00000100097,Bmet_Apri,LGALS1,22
2200.39,-1.14,0.12,-9.46,0,0,ENSG00000100099,Bmet_Apri,HPS4,22
2335.71,1.23,0.29,4.25,2e-05,0.00021,ENSG00000100106,Bmet_Apri,TRIOBP,22
7.54,-1.03,0.98,-1.05,0.29393,0.44642,ENSG00000100121,Bmet_Apri,GGTLC2,22
159.34,1.28,3.73,0.34,0.73054,0.8207,ENSG00000100197,Bmet_Apri,CYP2D6,22
19447.85,-1.87,0.5,-3.73,0.00019,0.00131,ENSG00000100201,Bmet_Apri,DDX17,22
1512.62,1.04,0.93,1.12,0.26189,0.4106,ENSG00000100207,Bmet_Apri,TCF20,22
4.72,1.8,0.99,1.82,0.06843,0.15145,ENSG00000100218,Bmet_Apri,RSPH14,22
3382.19,-1.16,0.23,-5.09,0,1e-05,ENSG00000100220,Bmet_Apri,RTCB,22
2939.65,-1.52,0.15,-10.29,0,0,ENSG00000100225,Bmet_Apri,FBXO7,22
812.04,2.47,1.06,2.32,0.02041,0.05877,ENSG00000100234,Bmet_Apri,TIMP3,22
6725.27,-1.63,0.57,-2.86,0.00422,0.0165,ENSG00000100242,Bmet_Apri,SUN2,22
64.92,1.06,0.3,3.6,0.00032,0.00204,ENSG00000100276,Bmet_Apri,RASL10A,22
20.99,1.13,0.73,1.55,0.12167,0.23468,ENSG00000100314,Bmet_Apri,CABP7,22
159.19,-8.42,1.81,-4.66,0,4e-05,ENSG00000100336,Bmet_Apri,APOL4,22
62.06,1.44,0.98,1.47,0.14259,0.26381,ENSG00000100344,Bmet_Apri,PNPLA3,22
41.67,-8.93,1.88,-4.75,0,3e-05,ENSG00000100346,Bmet_Apri,CACNA1I,22
358.19,12.58,3.16,3.98,7e-05,0.00055,ENSG00000100362,Bmet_Apri,PVALB,22
141.53,1.03,0.71,1.45,0.14586,0.26837,ENSG00000100365,Bmet_Apri,NCF4,22
57.86,-1.67,0.36,-4.59,0,5e-05,ENSG00000100368,Bmet_Apri,CSF2RB,22
3919.43,-1.63,0.86,-1.89,0.05939,0.13635,ENSG00000100403,Bmet_Apri,ZC3H7B,22
1471.53,-1.03,0.18,-5.83,0,0,ENSG00000100422,Bmet_Apri,CERK,22
3.94,-1.07,1.3,-0.82,0.41155,0.56098,ENSG00000100433,Bmet_Apri,KCNK10,14
0.58,-2.81,3.12,-0.9,0.36672,,ENSG00000100448,Bmet_Apri,CTSG,14
0.12,-1.52,4.08,-0.37,0.70994,,ENSG00000100450,Bmet_Apri,GZMH,14
2.76,-2.49,2.05,-1.22,0.22384,0.36736,ENSG00000100453,Bmet_Apri,GZMB,14
1488.35,-1.1,0.13,-8.18,0,0,ENSG00000100461,Bmet_Apri,RBM23,14
