,library_id,jira_ticket
0,A96204B,SC-3756
1,A96200A,SC-3755
2,A96229A,SC-3137
3,A96117B,SC-2911
4,A96117A,SC-3748
5,A98232B,SC-3178
6,A98306A,SC-3188
7,A98261B,SC-3212
8,A98217B,SC-3348
9,A98217A,SC-3309
10,A98300B,SC-3268
11,A98290A,SC-3273
12,A98299A,SC-3110
13,A98236A,SC-3793
14,A98293A,SC-3097
15,A98181A,SC-3073
16,A108836B,SC-3675
