sample_id,mainsite,origin,pdxid,note,experiment,SA_ID,AT Barcode _LC_ID,library_uid,Experiment_condition,XP UID,QC Ax UID
SA535X4XB09106,Metastasis,Right_Axillary,X0011-2362,,main_experiment,SA535,58523-BB,A96121A,A,XP10930,AX8655
SA535X4XB09106,Metastasis,Right_Axillary,X0011-2362,,main_experiment,SA535,58523-BB,A96253A,A,XP10878,AX8656
SA535X4XB09113,Metastasis,Inguinal,X0011-2362,,main_experiment,SA535,58531-BB,A98269A,A,XP10666,AX8657
SA535X4XB09113,Metastasis,Inguinal,X0011-2362,,main_experiment,SA535,58531-BB,A98194B,A,XP10707,AX8658
SA535X4XB09109,Metastasis,Left_Axillary,X0011-2362,,main_experiment,SA535,58529-BB,A98277A,A,XP10679,AX8659
SA535X4XB09109,Metastasis,Left_Axillary,X0011-2362,,main_experiment,SA535,58529-BB,A98197A,A,XP10785,AX8660
SA535X4XB05462,Primary,Primary,X0011-2363,,main_experiment,SA535,58530-BB,A98194A,A,XP10706,AX8661
SA535X4XB05462,Primary,Primary,X0011-2363,,main_experiment,SA535,58530-BB,A98169A,A,XP10674,AX8662
SA535X4XB05462,Primary,Primary,X0011-2363,,main_experiment,SA535,58530-BB,A98174A,A,XP11105,AX8663
SA535X4XB05662,Metastasis,Tumor_Recur,X0011-2363,,main_experiment,SA535,58532-BB,A98282B,A,XP10709,AX8664
SA535X4XB05667,Metastasis,Axillary,X0011-2363,,main_experiment,SA535,58533-BB,A98294B,A,XP10623,AX8665
SA535X4XB05667,Metastasis,Axillary,X0011-2363,,main_experiment,SA535,58533-BB,A98169B,A,XP11098,AX8666
SA535X4XB02498,Primary,Primary,X0011-2364,,main_experiment,SA535,58524-BB,A95697A,A,XP11088,AX8347
SA535X4XB02498,Primary,Primary,X0011-2364,,main_experiment,SA535,58524-BB,A98163A,A,XP10911,AX8510
SA535X4XB02498,Primary,Primary,X0011-2364,,main_experiment,SA535,58524-BB,A98210A,A,XP11106,AX8465
SA535X4XB05985,Metastasis,Axillary,X0011-2364,,main_experiment,SA535,58534-BB,A98262A,A,XP10813,AX8667
SA535X4XB05985,Metastasis,Axillary,X0011-2364,,main_experiment,SA535,58534-BB,A98303B,A,XP10730,AX8668
SA535X4XB05989,Metastasis,Inguinal,X0011-2364,,main_experiment,SA535,58535-BB,A98262B,A,XP10846,AX8669
SA535X4XB05989,Metastasis,Inguinal,X0011-2364,,main_experiment,SA535,58535-BB,A98303A,A,XP10684,AX8670
SA535X4XB05667,Metastasis,Axillary,X0011-2363,SA535X4XB05662_Tumor_Recur,main_experiment,SA535,58532-BB,A98296A,A,XP10907,AX8671
SA535X4XB05667,Metastasis,Axillary,X0011-2363,SA535X4XB05662_Tumor_Recur,main_experiment,SA535,58533-BB,A98296A,B,XP10907,AX8672
