chr,cell_id,mean_reads,mean_copy,clone_id
10,SA919X4XB40509-A98217A-R06-C15,166.75,3.02,A
10,SA919X4XB40509-A98217A-R06-C17,185.75,3.09,A
10,SA919X4XB40509-A98217A-R06-C18,149.95,2.94,A
10,SA919X4XB40509-A98217A-R06-C19,156.14,2.98,A
10,SA919X4XB40509-A98217A-R06-C22,153.29,3.01,A
10,SA919X4XB40509-A98217A-R06-C23,151.13,2.98,A
10,SA919X4XB40509-A98217A-R06-C24,197.08,2.97,A
10,SA919X4XB40509-A98217A-R06-C26,172.94,3.03,A
10,SA919X4XB40509-A98217A-R06-C27,122.33,3.08,A
10,SA919X4XB40509-A98217A-R06-C28,159.02,2.91,A
10,SA919X4XB40509-A98217A-R06-C30,168.4,3.01,A
10,SA919X4XB40509-A98217A-R06-C32,177.68,3.02,A
10,SA919X4XB40509-A98217A-R06-C33,119.22,3.02,A
10,SA919X4XB40509-A98217A-R06-C37,204.13,3.02,A
10,SA919X4XB40509-A98217A-R06-C41,177.22,3.02,A
10,SA919X4XB40509-A98217A-R06-C42,180.57,2.93,A
10,SA919X4XB40509-A98217A-R06-C46,122.32,2.95,A
10,SA919X4XB40509-A98217A-R06-C47,173.51,3.1,A
10,SA919X4XB40509-A98217A-R06-C48,171.24,3.04,A
10,SA919X4XB40509-A98217A-R06-C49,145.14,2.9,A
10,SA919X4XB40509-A98217A-R06-C50,149.22,3.03,A
10,SA919X4XB40509-A98217A-R06-C51,178.37,2.79,A
10,SA919X4XB40509-A98217A-R06-C54,151.62,2.92,A
10,SA919X4XB40509-A98217A-R06-C55,141.97,2.95,A
10,SA919X4XB40509-A98217A-R06-C56,176.76,2.98,A
10,SA919X4XB40509-A98217A-R06-C58,154.6,3.04,A
10,SA919X4XB40509-A98217A-R06-C59,156.51,3.07,A
10,SA919X4XB40509-A98217A-R06-C60,150.57,2.93,A
10,SA919X4XB40509-A98217A-R06-C61,185.52,3.18,A
10,SA919X4XB40509-A98217A-R06-C63,168.94,3.05,A
10,SA919X4XB40509-A98217A-R06-C64,180.03,3.08,A
10,SA919X4XB40509-A98217A-R06-C68,110,3.02,A
10,SA919X4XB40509-A98217A-R06-C69,148.7,3.03,A
10,SA919X4XB40509-A98217A-R06-C70,134.44,3.06,A
10,SA919X4XB40509-A98217A-R07-C07,194.54,3.09,A
10,SA919X4XB40509-A98217A-R07-C08,227.7,2.95,A
10,SA919X4XB40509-A98217A-R07-C11,181.54,2.88,A
10,SA919X4XB40509-A98217A-R07-C12,146.05,3.05,A
10,SA919X4XB40509-A98217A-R07-C14,166.97,3.05,A
10,SA919X4XB40509-A98217A-R07-C15,156.44,2.97,A
10,SA919X4XB40509-A98217A-R07-C16,178.02,2.99,A
10,SA919X4XB40509-A98217A-R07-C18,155.24,3.05,A
10,SA919X4XB40509-A98217A-R07-C19,151.87,2.97,A
10,SA919X4XB40509-A98217A-R07-C24,263.08,2.98,A
10,SA919X4XB40509-A98217A-R07-C25,175.41,3.03,A
10,SA919X4XB40509-A98217A-R07-C26,162.97,3,A
10,SA919X4XB40509-A98217A-R07-C27,134.3,2.95,A
10,SA919X4XB40509-A98217A-R07-C34,125.94,3.08,A
10,SA919X4XB40509-A98217A-R07-C37,153.57,3,A
10,SA919X4XB40509-A98217A-R07-C39,170.79,2.89,A
10,SA919X4XB40509-A98217A-R07-C44,132.44,2.89,A
10,SA919X4XB40509-A98217A-R07-C46,168.43,3.09,A
