"chr","clone_a","clone_b","n_a","n_b","mean_a","median_a","median_a_per_cell","sd_a","mean_b","median_b","median_b_per_cell","sd_b","D","p_value","result"
5,"A","B",325,325,9606.88,9496,29.22,1644.94,13553.5,12687,39.04,4375.76,0.58,3.734909075416e-47,"significant"
5,"A","C",325,325,9606.88,9496,29.22,1644.94,16360.18,16917,52.05,3784.32,0.82,2.88412870325912e-94,"significant"
5,"B","C",325,325,13553.5,12687,39.04,4375.76,16360.18,16917,52.05,3784.32,0.41,4.60663246253923e-24,"significant"
7,"A","B",325,325,22775.23,22640,69.66,4498.56,48938.38,45847,141.07,15817.49,0.9,6.27199754073704e-116,"significant"
7,"A","C",325,325,22775.23,22640,69.66,4498.56,43761.22,45010,138.49,10289.92,0.85,5.87191602162686e-103,"significant"
7,"B","C",325,325,48938.38,45847,141.07,15817.49,43761.22,45010,138.49,10289.92,0.19,9.93784350790786e-06,"significant"
10,"A","B",325,325,9294.95,9261,28.5,1613.05,13590.82,12744,39.21,4400.31,0.61,8.18632272698382e-53,"significant"
10,"A","C",325,325,9294.95,9261,28.5,1613.05,15924.25,16406,50.48,3751.52,0.81,3.73843862273306e-92,"significant"
10,"B","C",325,325,13590.82,12744,39.21,4400.31,15924.25,16406,50.48,3751.52,0.38,1.21419318344864e-20,"significant"
