"chr","clone_a","clone_b","n_a","n_b","t_statistic","df","p_value","result"
5,"A","B",716,783,-23.73684556529,1056.26730221651,3.66491397789129e-100,"significant"
5,"A","C",716,406,-36.2933871370221,500.705852841781,2.66780208255029e-142,"significant"
5,"B","C",783,406,-13.9237401133097,894.567411421787,4.9440454630291e-40,"significant"
7,"A","B",716,783,-46.6097684060757,925.773555464149,4.57112961509912e-245,"significant"
7,"A","C",716,406,-41.5441986140392,490.51545336479,9.24783462442682e-163,"significant"
7,"B","C",783,406,5.36367789170764,1101.93693718152,9.93275657682422e-08,"significant"
10,"A","B",716,783,-26.0566293500199,1036.90346970433,1.54106576289837e-115,"significant"
10,"A","C",716,406,-36.0477846960232,496.348801434261,1.06181035783425e-140,"significant"
10,"B","C",783,406,-11.8159532207315,907.317868584903,4.54881213042396e-30,"significant"
