,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
918,4.91E+02,-0.9289013,0.3176656,-2.924148,3.45E-03,4.14E-02,ENSG00000181754,AMIGO1
734,2.47E+03,-0.9307607,0.2619957,-3.552581,3.81E-04,7.38E-03,ENSG00000167863,ATP5PD
921,2.92E+03,-0.9317449,0.276115,-3.374481,7.40E-04,1.25E-02,ENSG00000182004,SNRPE
715,3.00E+03,-0.9338188,0.2779638,-3.359498,7.81E-04,1.29E-02,ENSG00000166532,RIMKLB
170,2.78E+03,-0.9346096,0.3168757,-2.949452,3.18E-03,3.90E-02,ENSG00000104164,BLOC1S6
80,1.40E+03,-0.9369469,0.2594011,-3.611962,3.04E-04,6.17E-03,ENSG00000080371,RAB21
1023,1.34E+03,-0.938276,0.3258221,-2.879719,3.98E-03,4.59E-02,ENSG00000187720,THSD4
765,1.10E+04,-0.9419522,0.3141655,-2.998268,2.72E-03,3.45E-02,ENSG00000170027,YWHAG
588,2.57E+03,-0.9442554,0.2489742,-3.792583,1.49E-04,3.40E-03,ENSG00000153944,MSI2
303,1.26E+03,-0.9461699,0.2542231,-3.72181,1.98E-04,4.32E-03,ENSG00000120253,NUP43
428,7.19E+03,-0.9493592,0.2944477,-3.224203,1.26E-03,1.92E-02,ENSG00000134762,DSC3
538,5.78E+02,-0.9494778,0.3081528,-3.081192,2.06E-03,2.78E-02,ENSG00000146530,VWDE
299,2.45E+03,-0.949654,0.2443723,-3.886095,1.02E-04,2.48E-03,ENSG00000119772,DNMT3A
556,1.87E+03,-0.9534952,0.2187934,-4.357971,1.31E-05,4.34E-04,ENSG00000148331,ASB6
268,2.75E+03,-0.9557166,0.2787731,-3.428296,6.07E-04,1.06E-02,ENSG00000116005,PCYOX1
89,1.53E+04,-0.9576674,0.2633643,-3.636284,2.77E-04,5.76E-03,ENSG00000083857,FAT1
972,9.91E+02,-0.9625031,0.2782789,-3.458771,5.43E-04,9.71E-03,ENSG00000184752,NDUFA12
265,5.57E+03,-0.9630538,0.2015005,-4.77941,1.76E-06,7.12E-05,ENSG00000115541,HSPE1
468,3.20E+03,-0.9652859,0.3346461,-2.884497,3.92E-03,4.54E-02,ENSG00000138758,SEPTIN11
366,2.33E+04,-0.9735347,0.3381215,-2.879245,3.99E-03,4.59E-02,ENSG00000128567,PODXL
878,2.48E+03,-0.9740096,0.3331381,-2.923741,3.46E-03,4.14E-02,ENSG00000177570,SAMD12
895,4.11E+03,-0.9744674,0.2527527,-3.855418,1.16E-04,2.77E-03,ENSG00000179295,PTPN11
579,1.93E+04,-0.9762917,0.2918035,-3.345716,8.21E-04,1.35E-02,ENSG00000151882,CCL28
578,1.28E+03,-0.9788616,0.2555754,-3.83003,1.28E-04,3.03E-03,ENSG00000151576,QTRT2
258,1.03E+03,-0.9800712,0.3413903,-2.870823,4.09E-03,4.68E-02,ENSG00000114127,XRN1
1289,3.45E+02,-0.9855472,0.3283667,-3.001362,2.69E-03,3.42E-02,ENSG00000256525,POLG2
1259,3.42E+04,-0.9886256,0.2840435,-3.480543,5.00E-04,9.10E-03,ENSG00000242265,PEG10
689,3.72E+03,-0.9901603,0.2559332,-3.868824,1.09E-04,2.63E-03,ENSG00000164916,FOXK1
1291,6.42E+02,-0.9913185,0.3400535,-2.915184,3.55E-03,4.23E-02,ENSG00000256771,ZNF253
138,1.44E+03,-0.9923332,0.3346106,-2.965636,3.02E-03,3.74E-02,ENSG00000100416,TRMU
766,1.20E+03,-0.9925299,0.274762,-3.612326,3.03E-04,6.17E-03,ENSG00000170088,TMEM192
320,4.89E+03,-0.9940079,0.3469946,-2.864621,4.18E-03,4.73E-02,ENSG00000123104,ITPR2
834,1.79E+03,-0.9991399,0.2543348,-3.928444,8.55E-05,2.16E-03,ENSG00000174227,PIGG
815,2.45E+03,-1.0027392,0.2490456,-4.026327,5.67E-05,1.54E-03,ENSG00000172785,CBWD1
663,5.66E+02,-1.0077968,0.3243301,-3.107318,1.89E-03,2.58E-02,ENSG00000162757,C1orf74
959,8.96E+02,-1.0102094,0.2859342,-3.533014,4.11E-04,7.78E-03,ENSG00000184277,TM2D3
50,3.98E+03,-1.0119629,0.2593914,-3.901297,9.57E-05,2.35E-03,ENSG00000065518,NDUFB4
239,7.46E+03,-1.0177444,0.2786965,-3.651802,2.60E-04,5.46E-03,ENSG00000111775,COX6A1
1188,5.07E+03,-1.0201071,0.2522154,-4.044588,5.24E-05,1.44E-03,ENSG00000213462,ERV3-1
509,1.93E+03,-1.0203268,0.2927931,-3.484805,4.92E-04,8.99E-03,ENSG00000143751,SDE2
30,5.13E+04,-1.0207957,0.2145987,-4.756765,1.97E-06,7.84E-05,ENSG00000034510,TMSB10
692,1.35E+03,-1.0244485,0.2545384,-4.02473,5.70E-05,1.54E-03,ENSG00000165055,METTL2B
308,3.19E+03,-1.0245373,0.306303,-3.344849,8.23E-04,1.35E-02,ENSG00000121281,ADCY7
713,1.49E+03,-1.0285297,0.3055753,-3.36588,7.63E-04,1.27E-02,ENSG00000166439,RNF169
450,2.70E+03,-1.0289442,0.3177635,-3.238082,1.20E-03,1.84E-02,ENSG00000137040,RANBP6
1044,4.98E+02,-1.0348753,0.3225184,-3.208733,1.33E-03,2.01E-02,ENSG00000196459,TRAPPC2
526,4.61E+04,-1.0365888,0.2812183,-3.686065,2.28E-04,4.84E-03,ENSG00000145592,RPL37
327,8.53E+03,-1.0412094,0.2724761,-3.821286,1.33E-04,3.10E-03,ENSG00000123684,LPGAT1
924,7.20E+03,-1.0439045,0.2761642,-3.780014,1.57E-04,3.54E-03,ENSG00000182158,CREB3L2
721,1.76E+03,-1.0504296,0.3537845,-2.969123,2.99E-03,3.71E-02,ENSG00000167196,FBXO22
446,6.98E+02,-1.0545492,0.3059045,-3.447315,5.66E-04,1.00E-02,ENSG00000136682,CBWD2
359,9.99E+02,-1.0617742,0.2947153,-3.602711,3.15E-04,6.33E-03,ENSG00000127980,PEX1
381,3.45E+03,-1.071799,0.3453136,-3.103842,1.91E-03,2.60E-02,ENSG00000130382,MLLT1
463,1.00E+03,-1.0733337,0.3417388,-3.140802,1.68E-03,2.39E-02,ENSG00000138495,COX17
935,1.92E+04,-1.0757722,0.2474737,-4.347016,1.38E-05,4.54E-04,ENSG00000182899,RPL35A
122,2.08E+03,-1.0782542,0.2680434,-4.022685,5.75E-05,1.55E-03,ENSG00000095564,BTAF1
34,9.43E+02,-1.0937228,0.3569121,-3.064404,2.18E-03,2.91E-02,ENSG00000039319,ZFYVE16
291,1.33E+03,-1.0960752,0.3685382,-2.974116,2.94E-03,3.67E-02,ENSG00000119013,NDUFB3
1085,1.79E+03,-1.0992777,0.2763657,-3.97762,6.96E-05,1.79E-03,ENSG00000198265,HELZ
435,4.14E+03,-1.1046072,0.3492829,-3.1625,1.56E-03,2.25E-02,ENSG00000135679,MDM2
1057,1.13E+03,-1.1057851,0.2801492,-3.947129,7.91E-05,2.01E-03,ENSG00000196865,NHLRC2
595,1.19E+03,-1.1060582,0.2884788,-3.834106,1.26E-04,2.99E-03,ENSG00000155034,FBXL18
317,7.97E+02,-1.1066516,0.2819245,-3.925347,8.66E-05,2.18E-03,ENSG00000122696,SLC25A51
