,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1421,9.11E+03,16.6783962,3.5827132,4.655242,3.24E-06,1.03E-04,ENSG00000204388,HSPA1B
1452,2.25E+03,14.5401417,1.4617264,9.947239,2.59E-23,6.95E-21,ENSG00000204619,PPP1R11
1280,1.26E+03,12.9202835,2.7523364,4.694297,2.68E-06,8.64E-05,ENSG00000187537,POTEG
1588,5.10E+02,12.7079231,3.7785184,3.363203,7.70E-04,1.13E-02,ENSG00000253958,CLDN23
1558,4.96E+02,12.4308375,1.4918137,8.332701,7.90E-17,1.27E-14,ENSG00000241370,RPP21
1449,4.68E+03,12.3562836,3.0955813,3.991588,6.56E-05,1.44E-03,ENSG00000204592,HLA-E
1435,6.83E+02,12.2347657,1.4726744,8.307855,9.74E-17,1.52E-14,ENSG00000204498,NFKBIL1
1513,4.41E+02,12.1175455,1.4918359,8.122573,4.56E-16,6.38E-14,ENSG00000221988,PPT2
1481,3.79E+02,11.6737453,3.4731296,3.36116,7.76E-04,1.14E-02,ENSG00000213588,ZBTB9
1043,3.19E+02,11.4791588,1.6177346,7.095823,1.29E-12,1.24E-10,ENSG00000172175,MALT1
363,2.72E+02,11.1446441,3.7725649,2.954129,3.14E-03,3.30E-02,ENSG00000118655,DCLRE1B
769,1.99E+02,11.0527062,1.5171719,7.285072,3.21E-13,3.39E-11,ENSG00000152939,MARVELD2
1431,6.26E+02,10.9152264,1.4362892,7.599602,2.97E-14,3.49E-12,ENSG00000204439,C6orf47
924,1.72E+02,10.8185296,1.5242258,7.097721,1.27E-12,1.24E-10,ENSG00000165646,SLC18A2
908,7.41E+02,10.1823953,0.8944099,11.384484,5.00E-30,1.94E-27,ENSG00000164597,COG5
1169,1.07E+02,10.0078022,1.571885,6.366752,1.93E-10,1.41E-08,ENSG00000181649,PHLDA2
216,1.96E+03,9.8135625,2.7705267,3.542129,3.97E-04,6.57E-03,ENSG00000103512,NOMO1
1230,8.51E+01,9.7735348,1.6111162,6.066313,1.31E-09,8.42E-08,ENSG00000184788,SATL1
189,5.64E+02,9.729019,1.5646811,6.217893,5.04E-10,3.48E-08,ENSG00000100983,GSS
854,6.76E+02,9.7011591,1.6112306,6.020962,1.73E-09,1.09E-07,ENSG00000161021,MAML1
796,8.43E+01,9.6140039,1.6296803,5.899319,3.65E-09,2.21E-07,ENSG00000156150,ALX3
1510,6.21E+01,9.5504805,1.6056687,5.947977,2.71E-09,1.67E-07,ENSG00000221933,OR2A25
1015,5.39E+01,8.9491879,1.8796581,4.761072,1.93E-06,6.52E-05,ENSG00000170909,OSCAR
468,5.57E+01,8.8844173,1.8014505,4.931813,8.15E-07,3.03E-05,ENSG00000128052,KDR
1545,6.45E+03,8.5933951,0.4132892,20.792691,5.04E-96,1.18E-92,ENSG00000234769,WASH4P
1549,3.82E+01,8.5734906,1.875012,4.572499,4.82E-06,1.45E-04,ENSG00000236761,CTAGE9
1440,5.17E+01,8.4595192,2.9557231,2.862081,4.21E-03,4.14E-02,ENSG00000204539,CDSN
749,2.42E+01,8.2920809,1.8775365,4.416468,1.00E-05,2.78E-04,ENSG00000149968,MMP3
474,3.25E+01,8.2697107,1.8390551,4.496717,6.90E-06,1.99E-04,ENSG00000128617,OPN1SW
1446,2.66E+02,8.2348075,0.9204193,8.9468,3.66E-19,7.77E-17,ENSG00000204576,PRR3
1573,6.84E+01,8.0062829,1.5747537,5.084149,3.69E-07,1.49E-05,ENSG00000244752,CRYBB2
896,3.00E+01,7.9976269,2.2319633,3.583225,3.39E-04,5.76E-03,ENSG00000163982,OTOP1
281,3.61E+01,7.9135682,1.6675744,4.745556,2.08E-06,6.96E-05,ENSG00000109927,TECTA
912,7.95E+02,7.8932518,0.646576,12.20777,2.83E-34,1.25E-31,ENSG00000165097,KDM1B
1454,1.85E+03,7.7418538,0.4242388,18.248811,2.11E-74,3.84E-71,ENSG00000204642,HLA-F
1429,2.94E+03,7.6811331,0.315559,24.341354,7.16E-131,5.85E-127,ENSG00000204435,CSNK2B
1009,2.68E+02,7.6276814,1.1013675,6.925646,4.34E-12,3.94E-10,ENSG00000170381,SEMA3E
1264,1.82E+01,7.6272599,2.2008429,3.465609,5.29E-04,8.28E-03,ENSG00000186431,FCAR
501,2.35E+01,7.6095576,2.2193246,3.428772,6.06E-04,9.26E-03,ENSG00000130950,NUTM2F
