,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1454,371.70236,-1.7481668,0.2675155,-6.534825,6.37E-11,7.04E-09,ENSG00000168389,MFSD2A
950,85.69299,-1.7106148,0.4873855,-3.509778,4.48E-04,6.58E-03,ENSG00000138685,FGF2
1321,171.58824,-1.7086249,0.3803924,-4.491743,7.06E-06,2.24E-04,ENSG00000163735,CXCL5
567,2099.15606,-1.6976893,0.2654949,-6.394433,1.61E-10,1.70E-08,ENSG00000117122,MFAP2
1666,186.77201,-1.6939845,0.3489598,-4.854383,1.21E-06,5.03E-05,ENSG00000183153,GJD3
1678,394.47871,-1.6922615,0.3052498,-5.543859,2.96E-08,1.95E-06,ENSG00000184005,ST6GALNAC3
545,91.88468,-1.6670439,0.5446378,-3.06083,2.21E-03,2.22E-02,ENSG00000115828,QPCT
669,290.59197,-1.6642756,0.3535062,-4.707911,2.50E-06,9.31E-05,ENSG00000124343,XG
1401,126.12331,-1.663698,0.5297115,-3.140762,1.69E-03,1.82E-02,ENSG00000165949,IFI27
1492,2783.40289,-1.6483353,0.1832442,-8.995293,2.36E-19,6.32E-17,ENSG00000170017,ALCAM
1812,259.14462,-1.6404339,0.3169545,-5.175613,2.27E-07,1.16E-05,ENSG00000198121,LPAR1
413,190.27562,-1.6266777,0.3844026,-4.231703,2.32E-05,6.08E-04,ENSG00000107984,DKK1
702,1025.15777,-1.6223102,0.3411233,-4.755788,1.98E-06,7.70E-05,ENSG00000126709,IFI6
1016,359.92986,-1.6182935,0.3499401,-4.624487,3.76E-06,1.32E-04,ENSG00000143341,HMCN1
1473,76.82077,-1.6179523,0.5107637,-3.167712,1.54E-03,1.69E-02,ENSG00000169116,PARM1
1175,3625.55145,-1.6122065,0.2251006,-7.16216,7.94E-13,1.14E-10,ENSG00000154277,UCHL1
174,430.25342,-1.6110899,0.3208492,-5.02133,5.13E-07,2.39E-05,ENSG00000077274,CAPN6
959,168.81097,-1.5970698,0.339409,-4.705444,2.53E-06,9.38E-05,ENSG00000138964,PARVG
1694,696.46433,-1.594314,0.2473434,-6.445752,1.15E-10,1.24E-08,ENSG00000185305,ARL15
1933,96.73561,-1.5934196,0.4369912,-3.646342,2.66E-04,4.35E-03,ENSG00000242715,CCDC169
430,415.59024,-1.5699608,0.2788736,-5.629649,1.81E-08,1.31E-06,ENSG00000108947,EFNB3
386,160.59603,-1.5649726,0.4355754,-3.592885,3.27E-04,5.13E-03,ENSG00000106565,TMEM176B
632,61.65387,-1.5599758,0.5393078,-2.892552,3.82E-03,3.40E-02,ENSG00000121361,KCNJ8
31,3740.82912,-1.5524415,0.233672,-6.643677,3.06E-11,3.68E-09,ENSG00000012223,LTF
1951,619.94955,-1.5444903,0.3276529,-4.7138,2.43E-06,9.11E-05,ENSG00000257599,OVCH1-AS1
1913,89.35525,-1.5429863,0.4709018,-3.276663,1.05E-03,1.26E-02,ENSG00000229544,NKX1-2
1085,415.99935,-1.5293303,0.3122726,-4.89742,9.71E-07,4.13E-05,ENSG00000147689,FAM83A
1804,66.02891,-1.5167595,0.5173169,-2.931973,3.37E-03,3.08E-02,ENSG00000197646,PDCD1LG2
1022,122.18638,-1.4954699,0.4430918,-3.375079,7.38E-04,9.64E-03,ENSG00000143546,S100A8
1192,941.9822,-1.4890942,0.2359886,-6.310026,2.79E-10,2.82E-08,ENSG00000155380,SLC16A1
240,2537.67596,-1.4757531,0.1852159,-7.967744,1.62E-15,2.91E-13,ENSG00000091513,TF
1232,69.31,-1.4638276,0.5275758,-2.77463,5.53E-03,4.46E-02,ENSG00000158748,HTR6
810,90.77121,-1.4522201,0.4668599,-3.110612,1.87E-03,1.96E-02,ENSG00000134061,CD180
1559,422.6725,-1.4469612,0.30581,-4.731569,2.23E-06,8.46E-05,ENSG00000173530,TNFRSF10D
535,150.58072,-1.4469469,0.3880674,-3.728597,1.93E-04,3.32E-03,ENSG00000115363,EVA1A
765,928.50552,-1.4428474,0.231862,-6.222871,4.88E-10,4.70E-08,ENSG00000130720,FIBCD1
1070,10755.82876,-1.4367034,0.3480971,-4.127307,3.67E-05,8.77E-04,ENSG00000146674,IGFBP3
1937,487.48139,-1.4354487,0.3117401,-4.604633,4.13E-06,1.42E-04,ENSG00000243649,CFB
629,3785.09549,-1.4346881,0.1748949,-8.203145,2.34E-16,4.62E-14,ENSG00000121039,RDH10
1202,116.58079,-1.430677,0.3905881,-3.662879,2.49E-04,4.14E-03,ENSG00000156140,ADAMTS3
634,440.1753,-1.4176173,0.2482739,-5.709892,1.13E-08,8.61E-07,ENSG00000121552,CSTA
278,536.87836,-1.4170987,0.2577217,-5.498562,3.83E-08,2.46E-06,ENSG00000100744,GSKIP
438,632.98818,-1.4162452,0.2259636,-6.267582,3.67E-10,3.64E-08,ENSG00000109790,KLHL5
1103,285.1529,-1.4095247,0.2811813,-5.012868,5.36E-07,2.48E-05,ENSG00000148735,PLEKHS1
1195,1031.17316,-1.4046683,0.2118228,-6.631336,3.33E-11,3.95E-09,ENSG00000155629,PIK3AP1
1415,315.80704,-1.3844557,0.3090578,-4.479601,7.48E-06,2.36E-04,ENSG00000166503,HDGFL3
1226,688.07184,-1.3802542,0.232485,-5.936959,2.90E-09,2.56E-07,ENSG00000158089,GALNT14
1179,139.2678,-1.3802437,0.4047113,-3.41044,6.49E-04,8.69E-03,ENSG00000154529,CNTNAP3B
939,5392.65859,-1.3788877,0.1701926,-8.101924,5.41E-16,1.02E-13,ENSG00000138434,ITPRID2
751,105.19618,-1.3764302,0.4597354,-2.993962,2.75E-03,2.63E-02,ENSG00000130383,FUT5
1701,161.11374,-1.3684893,0.3724724,-3.674068,2.39E-04,3.98E-03,ENSG00000185518,SV2B
1184,319.77314,-1.3680232,0.317708,-4.305914,1.66E-05,4.64E-04,ENSG00000154856,APCDD1
1528,874.11549,-1.3643036,0.2588072,-5.271507,1.35E-07,7.41E-06,ENSG00000171236,LRG1
1287,1417.34898,-1.358117,0.2388793,-5.685369,1.31E-08,9.76E-07,ENSG00000162981,LRATD1
1535,267.48429,-1.3574413,0.3389676,-4.004635,6.21E-05,1.35E-03,ENSG00000171476,HOPX
