clone_id,I,J,K,L,M,N,O,P,Q,R,S,T
Inguinal_X4_X0011_2362,0.0191387559808612,0.236842105263158,0.00239234449760766,0.00478468899521531,0.0334928229665072,0.0311004784688995,0.00239234449760766,0.301435406698565,0.069377990430622,0.0334928229665072,0.232057416267943,0.0334928229665072
Left_Axillary_X4_X0011_2362,0.0357142857142857,0.0396825396825397,0.00396825396825397,0.00396825396825397,0.0119047619047619,0.0515873015873016,0.00396825396825397,0.317460317460317,0.0238095238095238,0.00396825396825397,0.123015873015873,0.380952380952381
Primary_X4_X0011_2362,0.146036161335188,0.00556328233657858,0.00695410292072323,0.00417246175243394,0.0264255910987483,0.208623087621697,0.00139082058414465,0.0180806675938804,0.122392211404729,0.0250347705146036,0.394993045897079,0.0403337969401947
Right_Axillary_X4_X0011_2362,0.00284900284900285,0.00284900284900285,0.00284900284900285,0.00284900284900285,0.0284900284900285,0.0769230769230769,0.806267806267806,0.0142450142450142,0.00854700854700855,0.00284900284900285,0.0341880341880342,0.0170940170940171
