,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1238,1.04E+03,4.3774171,0.3881686,11.277102,1.70E-29,5.80E-27,ENSG00000124733,MEA1
1103,5.40E+01,4.3424001,1.0644185,4.079598,4.51E-05,5.23E-04,ENSG00000118971,CCND2
402,1.00E+02,4.3418634,1.1542369,3.761674,1.69E-04,1.57E-03,ENSG00000087303,NID2
1052,7.20E+01,4.3378287,0.8338303,5.202292,1.97E-07,4.79E-06,ENSG00000116690,PRG4
1787,1.11E+03,4.3227725,0.3763731,11.485339,1.56E-30,5.68E-28,ENSG00000142867,BCL10
1889,1.28E+02,4.3205185,0.9386051,4.603127,4.16E-06,6.69E-05,ENSG00000145423,SFRP2
1274,2.72E+01,4.3156149,1.2033858,3.586227,3.35E-04,2.77E-03,ENSG00000125968,ID1
1184,8.56E+01,4.3023462,1.0053274,4.279547,1.87E-05,2.47E-04,ENSG00000122691,TWIST1
1008,1.01E+02,4.2989288,0.7774975,5.529187,3.22E-08,9.40E-07,ENSG00000115380,EFEMP1
3743,2.97E+02,4.2924138,0.5215217,8.230556,1.86E-16,1.91E-14,ENSG00000243566,UPK3B
452,4.13E+01,4.2820021,1.2080954,3.544424,3.93E-04,3.15E-03,ENSG00000091656,ZFHX4
578,4.96E+01,4.2738902,1.6249278,2.630203,8.53E-03,3.77E-02,ENSG00000101306,MYLK2
1393,1.15E+02,4.2579551,0.8166587,5.213873,1.85E-07,4.54E-06,ENSG00000130528,HRC
3843,5.48E+02,4.24665,0.4284628,9.911363,3.72E-23,7.05E-21,ENSG00000273173,SNURF
1887,3.97E+01,4.2407194,1.0448414,4.058721,4.93E-05,5.62E-04,ENSG00000145358,DDIT4L
472,2.07E+01,4.2360873,1.5393584,2.751853,5.93E-03,2.84E-02,ENSG00000095596,CYP26A1
828,2.09E+01,4.2268793,1.6040356,2.635153,8.41E-03,3.73E-02,ENSG00000109072,VTN
2101,5.55E+01,4.2243133,1.515992,2.786501,5.33E-03,2.61E-02,ENSG00000153956,CACNA2D1
3175,3.20E+01,4.2147129,1.1577467,3.640445,2.72E-04,2.33E-03,ENSG00000185774,KCNIP4
831,2.73E+02,4.2075588,0.686757,6.126707,8.97E-10,3.53E-08,ENSG00000109323,MANBA
3498,1.37E+02,4.2024318,0.820667,5.120751,3.04E-07,7.00E-06,ENSG00000204305,AGER
