,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
275,1355.9751,0.7982542,0.2282367,3.497484,4.70E-04,3.29E-02,ENSG00000198862,LTN1
122,902.1957,0.8018978,0.2303925,3.480572,5.00E-04,3.31E-02,ENSG00000137992,DBT
162,536.6153,0.8019849,0.2389753,3.355932,7.91E-04,4.11E-02,ENSG00000156968,MPV17L
76,3008.2855,0.8041288,0.2043238,3.935561,8.30E-05,1.26E-02,ENSG00000115419,GLS
158,559.4095,0.805011,0.2355841,3.417085,6.33E-04,3.70E-02,ENSG00000155744,FAM126B
201,2113.7333,0.8136874,0.2000354,4.067718,4.75E-05,1.00E-02,ENSG00000168300,PCMTD1
87,597.4605,0.8142589,0.2286388,3.561333,3.69E-04,3.01E-02,ENSG00000120868,APAF1
111,2250.1876,0.8171186,0.2041735,4.002079,6.28E-05,1.17E-02,ENSG00000133858,ZFC3H1
272,1480.9949,0.8181297,0.2316247,3.532135,4.12E-04,3.12E-02,ENSG00000198265,HELZ
67,2780.8047,0.8192852,0.2176617,3.76403,1.67E-04,2.00E-02,ENSG00000112531,QKI
167,1761.1528,0.8197297,0.216425,3.787593,1.52E-04,1.86E-02,ENSG00000158711,ELK4
222,1860.1905,0.820035,0.2009523,4.080744,4.49E-05,9.95E-03,ENSG00000175893,ZDHHC21
60,1578.7499,0.8288346,0.2367147,3.501408,4.63E-04,3.27E-02,ENSG00000110422,HIPK3
5,2494.0145,0.8291739,0.2350851,3.527122,4.20E-04,3.13E-02,ENSG00000011405,PIK3C2A
217,794.6966,0.8296148,0.2234293,3.713098,2.05E-04,2.19E-02,ENSG00000173611,SCAI
190,506.3019,0.8296391,0.250059,3.317773,9.07E-04,4.38E-02,ENSG00000164542,KIAA0895
113,1058.9973,0.8332863,0.2408729,3.459444,5.41E-04,3.48E-02,ENSG00000136051,WASHC4
164,8192.6122,0.8338607,0.2581204,3.230511,1.24E-03,4.86E-02,ENSG00000157106,SMG1
151,2481.3586,0.8364508,0.2555482,3.273163,1.06E-03,4.61E-02,ENSG00000152601,MBNL1
280,655.8033,0.8380994,0.2453782,3.415541,6.37E-04,3.70E-02,ENSG00000205213,LGR4
185,1613.3932,0.8385762,0.2015602,4.160426,3.18E-05,7.95E-03,ENSG00000163728,TTC14
114,418.5497,0.8405664,0.2561044,3.282124,1.03E-03,4.61E-02,ENSG00000136206,SPDYE1
85,1760.3668,0.8426264,0.2154988,3.910122,9.22E-05,1.34E-02,ENSG00000118200,CAMSAP2
74,766.7989,0.8439644,0.2327443,3.626144,2.88E-04,2.67E-02,ENSG00000115084,SLC35F5
24,3057.6858,0.8471263,0.2476806,3.420237,6.26E-04,3.70E-02,ENSG00000070018,LRP6
183,2418.4442,0.8541676,0.2486294,3.435505,5.91E-04,3.62E-02,ENSG00000163428,LRRC58
187,722.4333,0.8568919,0.232952,3.678405,2.35E-04,2.37E-02,ENSG00000164031,DNAJB14
57,5196.348,0.8573967,0.2577877,3.325979,8.81E-04,4.32E-02,ENSG00000108021,TASOR2
260,330.9279,0.858019,0.2606503,3.29184,9.95E-04,4.61E-02,ENSG00000196391,ZNF774
90,3673.7197,0.8586998,0.2141448,4.009903,6.07E-05,1.15E-02,ENSG00000121644,DESI2
195,315.2017,0.8620364,0.2666441,3.23291,1.23E-03,4.86E-02,ENSG00000166128,RAB8B
133,480.9915,0.8620699,0.2560371,3.366973,7.60E-04,4.06E-02,ENSG00000145416,01-Mar
12,1448.1313,0.8634136,0.2473632,3.490469,4.82E-04,3.29E-02,ENSG00000041353,RAB27B
265,391.5268,0.8687092,0.2607702,3.331321,8.64E-04,4.29E-02,ENSG00000197121,PGAP1
10,335.6968,0.8690045,0.2642986,3.287965,1.01E-03,4.61E-02,ENSG00000033867,SLC4A7
100,954.5374,0.8710394,0.2560594,3.401708,6.70E-04,3.80E-02,ENSG00000129003,VPS13C
143,927.9459,0.8722034,0.2298618,3.794469,1.48E-04,1.83E-02,ENSG00000149311,ATM
112,1470.0903,0.8758723,0.2618065,3.345495,8.21E-04,4.18E-02,ENSG00000134318,ROCK2
16,2695.6375,0.8766155,0.2578549,3.399646,6.75E-04,3.80E-02,ENSG00000060749,QSER1
93,543.8905,0.8767421,0.2455495,3.570531,3.56E-04,2.93E-02,ENSG00000122591,FAM126A
234,617.6628,0.8774855,0.2380172,3.686648,2.27E-04,2.35E-02,ENSG00000180008,SOCS4
147,1124.0771,0.8820482,0.2706768,3.258677,1.12E-03,4.67E-02,ENSG00000151835,SACS
125,1359.1658,0.8827561,0.2505838,3.522798,4.27E-04,3.15E-02,ENSG00000139687,RB1
94,632.2994,0.8847376,0.2296781,3.852076,1.17E-04,1.58E-02,ENSG00000123552,USP45
124,1091.2199,0.8871467,0.2132287,4.16054,3.17E-05,7.95E-03,ENSG00000139324,TMTC3
268,3376.7855,0.8879873,0.2009286,4.419418,9.90E-06,3.80E-03,ENSG00000197969,VPS13A
192,2496.3879,0.8887289,0.2456388,3.618032,2.97E-04,2.69E-02,ENSG00000165186,PTCHD1
72,707.3935,0.8888825,0.2603512,3.414167,6.40E-04,3.70E-02,ENSG00000113615,SEC24A
45,1269.2964,0.8888889,0.2518647,3.529232,4.17E-04,3.13E-02,ENSG00000102189,EEA1
48,1794.9705,0.8889143,0.2209725,4.022736,5.75E-05,1.14E-02,ENSG00000102908,NFAT5
