clone_id,A,B,C,kflux,m_param
Axillary_X4_X08472164,0.995238095238095,0.00317460317460317,0.00158730158730159,0.512158203125,2
Primary,0.283018867924528,0.703078450844091,0.0139026812313803,NaN,2
SupraSpinal_X7_X08472112251,0.00392156862745098,0.994771241830065,0.00130718954248366,1.59267578125,2
SupraSpinal_X7_X08472112252,0.021505376344086,0.0967741935483871,0.881720430107527,0.824462890625,2
VentralSpinal_X4_X08472164,0.997198879551821,0.00140056022408964,0.00140056022408964,0.4442138671875,2
VentralSpinal_X7_X08472112251,0.0129032258064516,0.983870967741936,0.0032258064516129,2.3248046875,2
VentralSpinal_X7_X08472112253,0.00272851296043656,0.034106412005457,0.963165075034106,0.52451171875,2
VentralSpinal_X7_X08472112254,0.03125,0.9375,0.03125,3.56523437500001,2
