clone_id,A,D,E,F,G,H,B,I,J,K,L,M,N,O,P,Q,R,S,T,C,kflux,m_param
Axillary_X4_X0011_2361,0.0298507462686567,0.00746268656716418,0.365671641791045,0.156716417910448,0.0223880597014925,0.313432835820896,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,0.00746268656716418,6.69648437500001,6
Axillary_X4_X0011_2363,0.032520325203252,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.821138211382114,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,0.00813008130081301,6.24853515625001,6
Inguinal_X4_X0011_2362,0.00234741784037559,0.00234741784037559,0.00234741784037559,0.00234741784037559,0.00234741784037559,0.00234741784037559,0.00234741784037559,0.0187793427230047,0.232394366197183,0.00234741784037559,0.00469483568075117,0.0328638497652582,0.0305164319248826,0.00234741784037559,0.295774647887324,0.068075117370892,0.0328638497652582,0.227699530516432,0.0328638497652582,0.00234741784037559,7.72470703125002,6
Inguinal_X4_X0011_2364,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.0110497237569061,0.00276243093922652,0.44475138121547,0.464088397790055,0.0193370165745856,0.0110497237569061,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00552486187845304,0.00828729281767956,0.00276243093922652,0.00276243093922652,5.23515625000001,6
Left_Axillary_X4_X0011_2362,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.00384615384615385,0.0346153846153846,0.0384615384615385,0.00384615384615385,0.00384615384615385,0.0115384615384615,0.05,0.00384615384615385,0.307692307692308,0.0230769230769231,0.00384615384615385,0.119230769230769,0.369230769230769,0.00384615384615385,7.74570312500001,6
Primary,0.0420728578758338,0.043099025141098,0.000513083632632119,0.00359158542842483,0.0328373524884556,0.0600307850179579,0.0025654181631606,0.10415597742432,0.00359158542842483,0.00718317085684967,0.00205233453052848,0.0323242688558235,0.103129810159056,0.000513083632632119,0.0118009235505387,0.0456644433042586,0.0790148794253463,0.166239096972807,0.0179579271421242,0.241662390969728,NaN,6
Right_Axillary_X4_X0011_2362,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.0278551532033426,0.0752089136490251,0.788300835654596,0.0139275766016713,0.00835654596100279,0.00278551532033426,0.0334261838440111,0.0167130919220056,0.00278551532033426,5.79003906250001,6
