library_labels,grouping,mainsite,origin,pdxid,sample_id,series,jira_ticket,mouse_id
A138912A,A138912A,Metastasis,AnteriorNeck,X0847-2164-21122521,AT13688,SA919,SC-8443,04342
A138912B,A138912B,Metastasis,PosteriorNeck,X0847-2164-21122521,AT13684,SA919,SC-8448,04342
A138963A,A138963A,Metastasis,AnteriorNeck,X0847-2164-21122524,AT13638,SA919,SC-8510,04345
