ens_gene_id,logFC,logCPM,F,PValue,FDR
ENSG00000196091,8.68792996371825,3.64085617712951,922.914416714463,1.29314537582506e-09,2.04394558102908e-05
ENSG00000068976,5.98131715701125,4.89370471674766,583.444577476233,8.08808423991778e-09,6.0743080259275e-05
ENSG00000113296,4.17151227616752,5.66122883097128,533.795140974109,1.1529118105645e-08,6.0743080259275e-05
ENSG00000196296,6.54332053320541,7.35189788479977,484.326989996582,1.69796291765461e-08,6.70950046911219e-05
ENSG00000077522,6.87034001026631,4.45081062881019,448.344820036331,2.30791240171549e-08,7.29577268430302e-05
ENSG00000086967,7.72386290983608,1.60055552584096,418.48824924191,3.03437610177927e-08,7.40217240894034e-05
ENSG00000197616,8.81977223795197,3.95156776806529,410.416143391616,3.27819858677606e-08,7.40217240894034e-05
ENSG00000081248,7.5804863704438,2.26448835867827,385.061279622652,4.22134423966536e-08,8.34032088151883e-05
ENSG00000175084,6.99136622054919,7.13516225113643,356.934141288082,5.70037533668601e-08,9.24808913128545e-05
ENSG00000197893,8.36875318422979,2.87679235707668,354.589296275873,5.85099907078669e-08,9.24808913128545e-05
ENSG00000124701,5.51809629164902,2.59581557637482,340.92195767327,6.83511681800217e-08,9.82144149321294e-05
ENSG00000022267,4.67408059356921,5.59751244357392,333.247680762513,7.47873408518308e-08,9.85073924586698e-05
ENSG00000130598,7.99854333000496,5.28255597284162,292.200974086299,1.25625525496174e-07,0.00014399362582979
ENSG00000143318,7.48431728990071,3.5412204037751,291.080847744657,1.27540855473685e-07,0.00014399362582979
ENSG00000164708,8.15785979434188,2.4134543713512,281.174549717541,1.46172021115272e-07,0.000152374399512463
ENSG00000186439,9.32698503192267,1.08970631206555,277.359972681926,1.54244615475098e-07,0.000152374399512463
ENSG00000100362,9.86389325283382,3.41168765677353,269.53356672842,1.72625301793973e-07,0.000156227924177745
ENSG00000101306,5.57606372698825,1.41818361674926,267.472746352336,1.77913617309845e-07,0.000156227924177745
ENSG00000165887,7.15385971360062,2.46375545283295,256.854550886372,2.0860644768739e-07,0.00016951529508826
ENSG00000104879,8.64301759923191,6.01659739716798,251.757541554682,2.25683534688884e-07,0.00016951529508826
ENSG00000264424,10.0336765596034,6.29190461911194,250.527217968944,2.30064254921768e-07,0.00016951529508826
ENSG00000143632,5.79749479832413,7.38722139570436,247.521978722609,2.41219362240943e-07,0.00016951529508826
ENSG00000160808,8.68816675706952,5.27065872075128,246.116159505923,2.46669099521067e-07,0.00016951529508826
ENSG00000196218,4.0857213423235,3.8622479714149,232.530326290851,3.08145173678144e-07,0.000202939275631531
ENSG00000078328,8.69110058312875,1.34197472660883,227.20681187881,3.37384435831924e-07,0.000213307935710376
ENSG00000006788,9.02684383565975,3.03784457017155,224.861899581537,3.51359039610819e-07,0.000213599268464946
ENSG00000092054,10.6773671065483,4.2929892703142,207.453825032519,4.81344904300587e-07,0.000281782872495373
ENSG00000133020,9.23386967398749,3.92163892178534,204.906537653902,5.05108967513591e-07,0.000285134012161422
ENSG00000116748,7.97466875167329,1.53713774173511,196.744666613001,5.91803448701361e-07,0.000315125867493571
ENSG00000109061,9.96133052558386,6.72999372165522,196.209560378467,5.98113123168867e-07,0.000315125867493571
ENSG00000158022,9.83862750976416,2.46469954613477,191.848306748703,6.52800118614644e-07,0.000332843828220099
ENSG00000248746,8.55691531871517,3.05206023055924,188.038966476517,7.05758362448075e-07,0.000343622591106003
ENSG00000125414,9.60474923596617,5.14265993965371,187.247900891701,7.17420315481342e-07,0.000343622591106003
