baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,symbol,chr,copy_number_state_cloneA,copy_number_state_cloneB,copy_number_state_cloneC,gene_type,description
84.43,-1.37,0.5,-2.72,0.00650867298867435,0.0268701005925007,ENSG00000119125,GDA,9,4,4,4,trans_gene,B Primary vs. A Primary
102.63,-1.1,0.44,-2.52,0.0118495738526406,0.0419668680999934,ENSG00000119508,NR4A3,9,3,3,3,trans_gene,B Primary vs. A Primary
114.77,-1.07,0.41,-2.58,0.00989952017466116,0.0366365523183175,ENSG00000119614,VSX2,14,1,1,1,trans_gene,B Primary vs. A Primary
246.51,-1.61,0.33,-4.89,1.00319689179515e-06,2.89290982002083e-05,ENSG00000119630,PGF,14,1,1,1,trans_gene,B Primary vs. A Primary
503.69,1.06,0.31,3.38,0.000725437784811618,0.005101255311977,ENSG00000119705,SLIRP,14,1,1,1,trans_gene,B Primary vs. A Primary
70.3,-1.07,0.54,-1.96,0.0495830816297825,0.121119122030153,ENSG00000119714,GPR68,14,1,1,1,trans_gene,B Primary vs. A Primary
238.52,-1.05,0.32,-3.26,0.0010995247215607,0.00712010534964654,ENSG00000119720,NRDE2,14,1,1,1,trans_gene,B Primary vs. A Primary
35.37,-1.69,0.73,-2.32,0.0202706237447263,0.0625811054996177,ENSG00000119938,PPP1R3C,10,2,2,2,trans_gene,B Primary vs. A Primary
5.47,-6.45,2.92,-2.21,0.0274358498536812,,ENSG00000119946,CNNM1,10,2,2,2,trans_gene,B Primary vs. A Primary
79.51,-1.47,0.64,-2.3,0.021490594632574,0.0652879998354287,ENSG00000120049,KCNIP2,10,2,2,2,trans_gene,B Primary vs. A Primary
108.64,-1.17,0.54,-2.16,0.0311167011529123,0.0862324643367519,ENSG00000120068,HOXB8,17,2,2,2,trans_gene,B Primary vs. A Primary
63.46,-1.44,0.59,-2.44,0.0146044508029285,0.0492340657096811,ENSG00000120215,MLANA,9,4,4,4,trans_gene,B Primary vs. A Primary
407.76,-1.7,0.34,-5.08,3.67745397610107e-07,1.30078384611937e-05,ENSG00000120318,ARAP3,5,2,2,2,trans_gene,B Primary vs. A Primary
94.49,2.44,0.6,4.05,5.09293855849055e-05,0.000645440040874926,ENSG00000120322,PCDHB8,5,2,2,2,trans_gene,B Primary vs. A Primary
64.04,-2.31,0.57,-4.03,5.63023220642338e-05,0.000699579955887275,ENSG00000120332,TNN,1,5,5,5,trans_gene,B Primary vs. A Primary
