baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,symbol,chr,copy_number_state_cloneA,copy_number_state_cloneB,copy_number_state_cloneC,gene_type,description
688.91,1.31,0.28,4.67,3.05964595859295e-06,6.95859382957537e-05,ENSG00000128564,VGF,7,2,3,3,cis_gene,B Primary vs. A Primary
51.89,-1.34,0.6,-2.22,0.0260830722066005,0.0753534764056069,ENSG00000128709,HOXD9,2,2,2,2,trans_gene,B Primary vs. A Primary
2135.26,-1.08,0.18,-5.87,4.23316010490533e-09,3.10387645608632e-07,ENSG00000129219,PLD2,17,2,2,2,trans_gene,B Primary vs. A Primary
1167.73,-1.02,0.31,-3.26,0.00112017633418524,0.00724384126442802,ENSG00000129422,MTUS1,8,2,2,2,trans_gene,B Primary vs. A Primary
2185.08,-1.02,0.22,-4.65,3.3628686357495e-06,7.50276777402241e-05,ENSG00000129451,KLK10,19,2,2,2,trans_gene,B Primary vs. A Primary
492.75,-1.03,0.34,-3.06,0.00220111852121812,0.0120199172000421,ENSG00000129566,TEP1,14,1,1,1,trans_gene,B Primary vs. A Primary
1656.2,-1.1,0.24,-4.63,3.7191594524747e-06,8.10500414426298e-05,ENSG00000129657,SEC14L1,17,2,2,2,trans_gene,B Primary vs. A Primary
99.7,-1.08,0.51,-2.11,0.0348824035167549,0.0939316137545669,ENSG00000129749,CHRNA10,11,2,2,2,trans_gene,B Primary vs. A Primary
274.83,-1.11,0.34,-3.22,0.00128373325564572,0.00799663574025685,ENSG00000129951,PLPPR3,19,2,2,2,trans_gene,B Primary vs. A Primary
112.05,-1.52,0.43,-3.56,0.000377831758700068,0.00308533381611343,ENSG00000130038,CRACR2A,12,3,3,3,trans_gene,B Primary vs. A Primary
24075.65,1.24,0.22,5.72,1.07003266436361e-08,6.69507548840482e-07,ENSG00000130255,RPL36,19,2,2,2,trans_gene,B Primary vs. A Primary
1704.6,-1.13,0.28,-4.03,5.54141288820178e-05,0.000690371775576147,ENSG00000130382,MLLT1,19,2,2,2,trans_gene,B Primary vs. A Primary
69.35,1.1,0.53,2.07,0.0383796766781972,0.100803934379787,ENSG00000130383,FUT5,19,2,2,2,trans_gene,B Primary vs. A Primary
735.73,1.32,0.23,5.86,4.54907020034308e-09,3.30112424125927e-07,ENSG00000130513,GDF15,19,2,2,2,trans_gene,B Primary vs. A Primary
1188.13,-1.21,0.21,-5.76,8.44384387245244e-09,5.47799235190717e-07,ENSG00000130517,PGPEP1,19,2,2,2,trans_gene,B Primary vs. A Primary
4909.77,-1.05,0.21,-5.06,4.13966321324223e-07,1.42141899307376e-05,ENSG00000130529,TRPM4,19,2,2,2,trans_gene,B Primary vs. A Primary
1094.28,-1.19,0.31,-3.81,0.000141616858348486,0.00142202719816689,ENSG00000130635,COL5A1,9,3,3,3,trans_gene,B Primary vs. A Primary
1799.08,-1.68,0.27,-6.17,6.86906205147085e-10,6.71546219170879e-08,ENSG00000130720,FIBCD1,9,3,3,3,trans_gene,B Primary vs. A Primary
612.01,-1.02,0.27,-3.75,0.000179585680215349,0.00172387530902804,ENSG00000130762,ARHGEF16,1,1,1,1,trans_gene,B Primary vs. A Primary
1415.33,-1.15,0.21,-5.51,3.5319675370191e-08,1.88344844644526e-06,ENSG00000130775,THEMIS2,1,1,1,1,trans_gene,B Primary vs. A Primary
8100.74,-1.09,0.19,-5.76,8.56118657805179e-09,5.52864149751436e-07,ENSG00000130787,HIP1R,12,2,2,2,trans_gene,B Primary vs. A Primary
59.69,-1.21,0.59,-2.05,0.0405603422897663,0.104748299995379,ENSG00000131016,AKAP12,6,2,2,2,trans_gene,B Primary vs. A Primary
275.73,-1,0.3,-3.37,0.000741296743708848,0.00519202764076277,ENSG00000131018,SYNE1,6,2,2,2,trans_gene,B Primary vs. A Primary
5714.9,-1.37,0.2,-6.89,5.44876973989203e-12,9.35460736563414e-10,ENSG00000131037,EPS8L1,19,2,2,2,trans_gene,B Primary vs. A Primary
69.81,-1.35,0.55,-2.44,0.0146356638643115,0.0493038707541942,ENSG00000131067,GGT7,20,2,2,2,trans_gene,B Primary vs. A Primary
38.39,-1.85,0.73,-2.52,0.0116043903304919,0.0412541937052185,ENSG00000131152,AC010531.1,16,,,,trans_gene,B Primary vs. A Primary
2786.37,1.33,0.24,5.54,3.09074406087247e-08,1.69305427583512e-06,ENSG00000131174,COX7B,X,2,2,2,trans_gene,B Primary vs. A Primary
49.31,-2.41,0.77,-3.15,0.00162468248739569,0.00953806507821373,ENSG00000131203,IDO1,8,2,2,2,trans_gene,B Primary vs. A Primary
136.11,-1.01,0.4,-2.54,0.0110383818574118,0.0396626696755087,ENSG00000131378,RFTN1,3,2,2,2,trans_gene,B Primary vs. A Primary
22986.52,1.24,0.17,7.42,1.18614069348053e-13,3.40785483322836e-11,ENSG00000131469,RPL27,17,2,2,2,trans_gene,B Primary vs. A Primary
2495.79,-1.59,0.24,-6.7,2.06041710353035e-11,2.95985224321431e-09,ENSG00000131711,MAP1B,5,1,1,1,trans_gene,B Primary vs. A Primary
71.55,-1.16,0.58,-2.01,0.0440528002630488,0.111482171868273,ENSG00000132000,PODNL1,19,2,2,2,trans_gene,B Primary vs. A Primary
1148.41,-1.02,0.25,-4.16,3.24401350120048e-05,0.000456235984714289,ENSG00000132003,ZSWIM4,19,2,2,2,trans_gene,B Primary vs. A Primary
348.59,-1.66,0.35,-4.69,2.71286802023859e-06,6.28153881396691e-05,ENSG00000132016,C19orf57,19,2,2,2,trans_gene,B Primary vs. A Primary
116.47,-1.76,0.51,-3.46,0.000542354360986397,0.00408740079976794,ENSG00000132205,EMILIN2,18,2,2,2,trans_gene,B Primary vs. A Primary
147.32,-2.39,0.4,-5.95,2.68456554535073e-09,2.11135830991327e-07,ENSG00000132321,IQCA1,2,2,2,2,trans_gene,B Primary vs. A Primary
492.85,-1.42,0.31,-4.65,3.35856741519605e-06,7.50276777402241e-05,ENSG00000132970,WASF3,13,2,2,2,trans_gene,B Primary vs. A Primary
1156.1,-1.09,0.24,-4.48,7.38751228193353e-06,0.000140352763704535,ENSG00000133059,DSTYK,1,4,4,4,trans_gene,B Primary vs. A Primary
42.1,-1.67,0.66,-2.54,0.0110108826769437,0.0396042939003613,ENSG00000133475,GGT2,22,2,2,2,trans_gene,B Primary vs. A Primary
2185.13,-1.26,0.22,-5.72,1.03663796874464e-08,6.54430014528568e-07,ENSG00000133477,FAM83F,22,2,2,2,trans_gene,B Primary vs. A Primary
338.33,-1.02,0.43,-2.39,0.0170143812888544,0.0551654674768522,ENSG00000133619,KRBA1,7,2,3,3,cis_gene,B Primary vs. A Primary
1278.51,1.17,0.2,5.78,7.38276377830034e-09,4.90257304108077e-07,ENSG00000133641,C12orf29,12,2,2,2,trans_gene,B Primary vs. A Primary
1557.55,1.25,0.24,5.27,1.34125798542924e-07,5.68741865026289e-06,ENSG00000133773,CCDC59,12,2,2,2,trans_gene,B Primary vs. A Primary
761.83,-1.01,0.25,-4.07,4.67438933035286e-05,0.000603171888109144,ENSG00000133816,MICAL2,11,2,2,2,trans_gene,B Primary vs. A Primary
36.85,-1.81,0.71,-2.54,0.0110370261531567,0.0396626696755087,ENSG00000133937,GSC,14,1,1,1,trans_gene,B Primary vs. A Primary
323.26,-1.25,0.39,-3.18,0.0014752325961413,0.00886398825799286,ENSG00000134013,LOXL2,8,2,2,2,trans_gene,B Primary vs. A Primary
97.96,-1.24,0.47,-2.67,0.00763496478168319,0.0301754728232835,ENSG00000134256,CD101,1,2,2,2,trans_gene,B Primary vs. A Primary
1846.65,-1.06,0.34,-3.08,0.00209016279731593,0.0115620085896321,ENSG00000134313,KIDINS220,2,2,2,2,trans_gene,B Primary vs. A Primary
54962.92,1.77,0.17,10.6,2.87147833073291e-26,3.10959014923522e-23,ENSG00000134419,RPS15A,16,3,3,3,trans_gene,B Primary vs. A Primary
936.22,2.95,0.85,3.48,0.000506404991488659,0.0038577756873254,ENSG00000134757,DSG3,18,2,2,2,trans_gene,B Primary vs. A Primary
471.91,-1.72,0.36,-4.73,2.28884137112536e-06,5.47998449365694e-05,ENSG00000134827,TCN1,11,2,2,2,trans_gene,B Primary vs. A Primary
2168.92,-2.31,0.21,-11.09,1.40373376186484e-28,2.47022048744165e-25,ENSG00000134871,COL4A2,13,2,2,2,trans_gene,B Primary vs. A Primary
2211.6,2.04,0.27,7.61,2.83401795927407e-14,9.27844298387449e-12,ENSG00000135069,PSAT1,9,3,3,3,trans_gene,B Primary vs. A Primary
500.69,-1.11,0.29,-3.77,0.000164877698609376,0.0016107898966154,ENSG00000135083,CCNJL,5,2,2,2,trans_gene,B Primary vs. A Primary
845.16,-1.47,0.24,-6.15,7.74472730133517e-10,7.46782677727373e-08,ENSG00000135144,DTX1,12,2,2,2,trans_gene,B Primary vs. A Primary
136.68,-1.04,0.42,-2.5,0.0125704169136819,0.0438904586584358,ENSG00000135324,MRAP2,6,3,3,3,trans_gene,B Primary vs. A Primary
96.92,-1.01,0.5,-2.04,0.0415235538824824,0.106673100649195,ENSG00000135338,LCA5,6,3,3,3,trans_gene,B Primary vs. A Primary
5883.14,-1.16,0.32,-3.66,0.000252696885797382,0.00223038668229187,ENSG00000135373,EHF,11,2,2,2,trans_gene,B Primary vs. A Primary
210.54,-1.06,0.43,-2.47,0.0133315595332104,0.0458655168886939,ENSG00000135423,GLS2,12,2,2,2,trans_gene,B Primary vs. A Primary
109.44,-1.14,0.46,-2.46,0.0138446588587039,0.047387577780898,ENSG00000135436,FAM186B,12,2,2,2,trans_gene,B Primary vs. A Primary
2152.24,-1.23,0.21,-5.82,5.95096002852714e-09,4.14740669710916e-07,ENSG00000135631,RAB11FIP5,2,2,2,2,trans_gene,B Primary vs. A Primary
1088.32,-1.36,0.2,-6.72,1.82693095480218e-11,2.67911812309428e-09,ENSG00000135636,DYSF,2,2,2,2,trans_gene,B Primary vs. A Primary
1047.09,-1.61,0.27,-5.92,3.28654756894294e-09,2.51456612367276e-07,ENSG00000135744,AGT,1,5,5,5,trans_gene,B Primary vs. A Primary
658.76,-1.66,0.25,-6.52,6.93422245221854e-11,8.63893660905599e-09,ENSG00000135750,KCNK1,1,5,5,5,trans_gene,B Primary vs. A Primary
177.99,-1.5,0.39,-3.84,0.000123005581956985,0.00127422559440061,ENSG00000135773,CAPN9,1,5,5,5,trans_gene,B Primary vs. A Primary
233.81,-1.27,0.32,-3.93,8.38793727468483e-05,0.000960922309509116,ENSG00000135835,KIAA1614,1,4,4,4,trans_gene,B Primary vs. A Primary
2602.84,-1.33,0.21,-6.41,1.43498507507582e-10,1.69762351990902e-08,ENSG00000135842,FAM129A,1,4,4,4,trans_gene,B Primary vs. A Primary
72.84,-2.26,0.57,-3.98,6.90814512928055e-05,0.000826980162670166,ENSG00000135898,GPR55,2,2,2,2,trans_gene,B Primary vs. A Primary
4617.83,-1.15,0.21,-5.43,5.68216909171179e-08,2.77755473864995e-06,ENSG00000135916,ITM2C,2,2,2,2,trans_gene,B Primary vs. A Primary
3693.44,-1.05,0.2,-5.36,8.53532992760153e-08,3.83898960769247e-06,ENSG00000135924,DNAJB2,2,2,2,2,trans_gene,B Primary vs. A Primary
1099.54,-1.24,0.24,-5.26,1.42239137048837e-07,5.97744051156276e-06,ENSG00000135976,ANKRD36,2,2,2,2,trans_gene,B Primary vs. A Primary
374.14,1.08,0.37,2.92,0.00347368076923102,0.0167531613118308,ENSG00000136010,ALDH1L2,12,2,2,2,trans_gene,B Primary vs. A Primary
503.6,-1.28,0.24,-5.26,1.44173671211922e-07,6.04070518845666e-06,ENSG00000136059,VILL,3,2,2,2,trans_gene,B Primary vs. A Primary
9598.17,-1.15,0.17,-6.85,7.54976309765595e-12,1.20779051010001e-09,ENSG00000136167,LCP1,13,2,2,2,trans_gene,B Primary vs. A Primary
238.04,1.83,0.38,4.8,1.60042253510299e-06,4.18696097431956e-05,ENSG00000136197,C7orf25,7,2,3,3,cis_gene,B Primary vs. A Primary
2065,-1.11,0.24,-4.55,5.27312602583269e-06,0.00010696695704852,ENSG00000136205,TNS3,7,2,3,3,cis_gene,B Primary vs. A Primary
89.27,-1.11,0.51,-2.18,0.0295362319391506,0.0827865057795787,ENSG00000136378,ADAMTS7,15,2,2,2,trans_gene,B Primary vs. A Primary
370.09,-1.73,0.33,-5.27,1.38874637059452e-07,5.87110252409299e-06,ENSG00000136383,ALPK3,15,2,2,2,trans_gene,B Primary vs. A Primary
79.01,-1.22,0.61,-2.02,0.0438330877166192,0.111045925656751,ENSG00000136457,CHAD,17,2,2,2,trans_gene,B Primary vs. A Primary
618.06,-1.09,0.24,-4.47,7.73310488464772e-06,0.000146720553323545,ENSG00000136490,LIMD2,17,2,2,2,trans_gene,B Primary vs. A Primary
401.5,-1.01,0.27,-3.77,0.000161205702121519,0.00158260381761976,ENSG00000136840,ST6GALNAC4,9,3,3,3,trans_gene,B Primary vs. A Primary
3325.78,-1,0.19,-5.27,1.33572183619985e-07,5.6810549879219e-06,ENSG00000136861,CDK5RAP2,9,3,3,3,trans_gene,B Primary vs. A Primary
50.46,-3.9,0.79,-4.96,7.05084605915303e-07,2.21566542010617e-05,ENSG00000136869,TLR4,9,3,3,3,trans_gene,B Primary vs. A Primary
2675.81,-1.03,0.22,-4.77,1.82821432042038e-06,4.60422203987085e-05,ENSG00000136878,USP20,9,3,3,3,trans_gene,B Primary vs. A Primary
2328.73,-1.25,0.22,-5.81,6.31385508791814e-09,4.33592448427861e-07,ENSG00000136883,KIF12,9,3,3,3,trans_gene,B Primary vs. A Primary
69.6,-1.2,0.6,-2.02,0.0433576503126168,0.110160729794065,ENSG00000136928,GABBR2,9,3,3,3,trans_gene,B Primary vs. A Primary
33060.22,1.17,0.21,5.43,5.66999074008181e-08,2.77755473864995e-06,ENSG00000136942,RPL35,9,3,3,3,trans_gene,B Primary vs. A Primary
1032.45,-1.12,0.28,-4.02,5.88934536823463e-05,0.000726645084084199,ENSG00000137070,IL11RA,9,4,4,4,trans_gene,B Primary vs. A Primary
157821.58,1.06,0.17,6.1,1.0346988904229e-09,9.39773611572493e-08,ENSG00000137154,RPS6,9,4,4,4,trans_gene,B Primary vs. A Primary
1928.23,1.06,0.18,5.8,6.66199890390331e-09,4.46607716995956e-07,ENSG00000137168,PPIL1,6,3,3,3,trans_gene,B Primary vs. A Primary
1737.19,-1.13,0.19,-6.04,1.50874051908731e-09,1.26503850791942e-07,ENSG00000137171,KLC4,6,3,3,3,trans_gene,B Primary vs. A Primary
593.17,-1.26,0.26,-4.78,1.78478853637401e-06,4.54362622334057e-05,ENSG00000137185,ZSCAN9,6,3,3,3,trans_gene,B Primary vs. A Primary
408.28,-4.21,0.48,-8.78,1.59674126496765e-18,9.30923683436922e-16,ENSG00000137225,CAPN11,6,3,3,3,trans_gene,B Primary vs. A Primary
183.37,-1.42,0.49,-2.9,0.00372564280633694,0.0177015185378371,ENSG00000137338,PGBD1,6,3,3,3,trans_gene,B Primary vs. A Primary
82.9,1.5,0.51,2.92,0.00347537527963897,0.0167555935571087,ENSG00000137434,C6orf52,6,3,3,3,trans_gene,B Primary vs. A Primary
560.71,-1.34,0.25,-5.31,1.07639137890942e-07,4.70603659387787e-06,ENSG00000137486,ARRB1,11,2,2,2,trans_gene,B Primary vs. A Primary
105.65,-1.25,0.46,-2.71,0.0066631621858474,0.0272924053687401,ENSG00000137496,IL18BP,11,2,2,2,trans_gene,B Primary vs. A Primary
392.63,-2.22,0.33,-6.73,1.69758840321275e-11,2.51564732004517e-09,ENSG00000137868,STRA6,15,2,2,2,trans_gene,B Primary vs. A Primary
216.46,-1.01,0.32,-3.13,0.00173458495981743,0.0100439390645489,ENSG00000137880,GCHFR,15,1,1,1,trans_gene,B Primary vs. A Primary
114.99,-1.48,0.47,-3.19,0.00142153520468581,0.00861859285597194,ENSG00000138080,EMILIN1,2,2,2,2,trans_gene,B Primary vs. A Primary
7864.1,-1.14,0.23,-4.93,8.29127840251646e-07,2.52650686906118e-05,ENSG00000138434,SSFA2,2,2,2,2,trans_gene,B Primary vs. A Primary
1013.09,1.54,0.21,7.37,1.70567166067256e-13,4.53065012055627e-11,ENSG00000138495,COX17,3,2,2,2,trans_gene,B Primary vs. A Primary
489.75,1.19,0.43,2.75,0.00597940828853312,0.0252175916224164,ENSG00000138758,SEPT11,4,2,2,2,trans_gene,B Primary vs. A Primary
51.37,-2.04,0.62,-3.3,0.000968269014592686,0.00641472526467569,ENSG00000138759,FRAS1,4,2,2,2,trans_gene,B Primary vs. A Primary
85.49,-1.54,0.53,-2.89,0.00379338472933946,0.0179446472512234,ENSG00000138767,CNOT6L,4,2,2,2,trans_gene,B Primary vs. A Primary
4943.87,-1.33,0.31,-4.32,1.554071860952e-05,0.000253552419866223,ENSG00000138834,MAPK8IP3,16,3,3,3,trans_gene,B Primary vs. A Primary
301.33,-1.47,0.29,-5.02,5.28369183979387e-07,1.72985613303763e-05,ENSG00000138964,PARVG,22,2,2,2,trans_gene,B Primary vs. A Primary
2957.46,-1.16,0.18,-6.34,2.3159599402525e-10,2.6507385397459e-08,ENSG00000139112,GABARAPL1,12,3,3,3,trans_gene,B Primary vs. A Primary
210.06,-1.38,0.46,-3.02,0.00249906846077836,0.0131668734247147,ENSG00000139190,VAMP1,12,3,3,3,trans_gene,B Primary vs. A Primary
102.57,-1.65,0.56,-2.93,0.00339451351795425,0.0164445840694287,ENSG00000139194,RBP5,12,3,3,3,trans_gene,B Primary vs. A Primary
2173.57,1.5,0.22,6.87,6.3607100111941e-12,1.06602470878084e-09,ENSG00000139343,SNRPF,12,2,2,2,trans_gene,B Primary vs. A Primary
123.14,-1.03,0.41,-2.53,0.0114224689236689,0.0407412002805703,ENSG00000139567,ACVRL1,12,2,2,2,trans_gene,B Primary vs. A Primary
3055.85,-1.08,0.26,-4.09,4.26869628473851e-05,0.000559020523688826,ENSG00000139645,ANKRD52,12,2,2,2,trans_gene,B Primary vs. A Primary
1388.36,-1,0.2,-4.92,8.43878710711255e-07,2.5439238735317e-05,ENSG00000139651,ZNF740,12,2,2,2,trans_gene,B Primary vs. A Primary
588.76,-1.02,0.3,-3.41,0.000640013543783377,0.00463244764492667,ENSG00000139832,RAB20,13,2,2,2,trans_gene,B Primary vs. A Primary
126.35,-1.22,0.44,-2.81,0.00493882924101854,0.0219333873990722,ENSG00000139890,REM2,14,1,1,1,trans_gene,B Primary vs. A Primary
44.57,-1.75,0.7,-2.49,0.012627176219353,0.0440449422239968,ENSG00000139908,TSSK4,14,1,1,1,trans_gene,B Primary vs. A Primary
5.04,-6.33,2.46,-2.57,0.0101028914861197,,ENSG00000139985,ADAM21,14,1,1,1,trans_gene,B Primary vs. A Primary
1124.86,-1,0.22,-4.45,8.54290295921338e-06,0.000157296891906109,ENSG00000139998,RAB15,14,1,1,1,trans_gene,B Primary vs. A Primary
218.74,-1.53,0.36,-4.27,1.93763523644665e-05,0.000298446705237374,ENSG00000140527,WDR93,15,2,2,2,trans_gene,B Primary vs. A Primary
85.08,-2.02,0.56,-3.58,0.000341402402809158,0.00283890314633629,ENSG00000140563,MCTP2,15,2,2,2,trans_gene,B Primary vs. A Primary
1048.17,-1.05,0.25,-4.18,2.95174443416155e-05,0.000423647549226991,ENSG00000140691,ARMC5,16,3,3,3,trans_gene,B Primary vs. A Primary
1812.68,-1.13,0.22,-5.18,2.21002289725549e-07,8.64241731876745e-06,ENSG00000140859,KIFC3,16,2,2,2,trans_gene,B Primary vs. A Primary
295,-1.45,0.32,-4.59,4.46535761126336e-06,9.39660754131025e-05,ENSG00000140968,IRF8,16,2,2,2,trans_gene,B Primary vs. A Primary
1554.88,-1.09,0.21,-5.14,2.76749668808979e-07,1.02528469407705e-05,ENSG00000141295,SCRN2,17,2,2,2,trans_gene,B Primary vs. A Primary
196.47,-1.14,0.4,-2.81,0.00495497924015069,0.0219569819462958,ENSG00000141404,GNAL,18,2,2,2,trans_gene,B Primary vs. A Primary
835.11,-1.16,0.23,-5.13,2.89858732347949e-07,1.07103181994604e-05,ENSG00000141497,ZMYND15,17,2,2,2,trans_gene,B Primary vs. A Primary
884.2,-1.03,0.35,-2.97,0.00300739996938411,0.0150241933175974,ENSG00000141527,CARD14,17,2,2,2,trans_gene,B Primary vs. A Primary
6127.3,-1,0.21,-4.81,1.48603675752333e-06,3.96972020349401e-05,ENSG00000141551,CSNK1D,17,,,,trans_gene,B Primary vs. A Primary
2114.69,-1.02,0.18,-5.61,2.04923189472732e-08,1.18233961532669e-06,ENSG00000141556,TBCD,17,,,,trans_gene,B Primary vs. A Primary
86.06,-1.14,0.51,-2.25,0.0242955064238632,0.0713458780632345,ENSG00000141968,VAV1,19,2,2,2,trans_gene,B Primary vs. A Primary
81.68,-1.16,0.56,-2.09,0.0368062187479446,0.0977841003082778,ENSG00000142046,TMEM91,19,2,2,2,trans_gene,B Primary vs. A Primary
1261.14,-1,0.31,-3.21,0.0013312467877422,0.00820303481683625,ENSG00000142303,ADAMTS10,19,2,2,2,trans_gene,B Primary vs. A Primary
148.03,-1.01,0.45,-2.21,0.027136514875861,0.0775691079030195,ENSG00000142512,SIGLEC10,19,2,2,2,trans_gene,B Primary vs. A Primary
29.07,-1.86,0.82,-2.26,0.0239576422354888,0.0706632489820263,ENSG00000142515,KLK3,19,2,2,2,trans_gene,B Primary vs. A Primary
84.19,-1.41,0.54,-2.59,0.00973344857051946,0.0361740995184195,ENSG00000142621,FHAD1,1,1,1,1,trans_gene,B Primary vs. A Primary
1403.98,-1.03,0.21,-4.92,8.52591448961436e-07,2.56469709796562e-05,ENSG00000142632,ARHGEF19,1,1,1,1,trans_gene,B Primary vs. A Primary
928.05,-1.15,0.33,-3.49,0.000490098820884127,0.00375182773268447,ENSG00000142798,HSPG2,1,1,1,1,trans_gene,B Primary vs. A Primary
895.27,1.11,0.23,4.91,8.9351168768435e-07,2.65643734009611e-05,ENSG00000142856,ITGB3BP,1,2,2,2,trans_gene,B Primary vs. A Primary
705.06,-1.13,0.25,-4.44,8.82340993439671e-06,0.000161739537833902,ENSG00000142961,MOB3C,1,2,2,2,trans_gene,B Primary vs. A Primary
268.86,-1.52,0.33,-4.58,4.68882852712954e-06,9.7553960064222e-05,ENSG00000143067,ZNF697,1,2,2,2,trans_gene,B Primary vs. A Primary
1116.86,-1.1,0.23,-4.75,2.06401355873446e-06,5.05342310954152e-05,ENSG00000143093,STRIP1,1,2,2,2,trans_gene,B Primary vs. A Primary
324.35,-1.18,0.31,-3.79,0.000153443026809128,0.00151697396869305,ENSG00000143127,ITGA10,1,9,9,9,trans_gene,B Primary vs. A Primary
604.16,-1.02,0.44,-2.29,0.0217413561315931,0.0658448100009687,ENSG00000143322,ABL2,1,4,4,4,trans_gene,B Primary vs. A Primary
5268.82,-1.06,0.17,-6.34,2.26004055024617e-10,2.60793859560373e-08,ENSG00000143365,RORC,1,10,9,9,cis_gene,B Primary vs. A Primary
6548.8,-1,0.21,-4.75,2.0052756485374e-06,4.93536198952964e-05,ENSG00000143367,TUFT1,1,10,9,9,cis_gene,B Primary vs. A Primary
208.6,-1.04,0.37,-2.78,0.00537019956101678,0.0233079518542804,ENSG00000143369,ECM1,1,10,9,9,cis_gene,B Primary vs. A Primary
2473.95,-1.06,0.29,-3.63,0.000285356837164826,0.00245103938597097,ENSG00000143382,ADAMTSL4,1,10,9,9,cis_gene,B Primary vs. A Primary
3500.91,-1.14,0.2,-5.63,1.78745608822107e-08,1.04849195041568e-06,ENSG00000143409,MINDY1,1,10,9,9,cis_gene,B Primary vs. A Primary
999.46,-1.28,0.21,-6.21,5.18592902595278e-10,5.32901524287323e-08,ENSG00000143412,ANXA9,1,10,9,9,cis_gene,B Primary vs. A Primary
65.9,2.47,0.6,4.15,3.37134600060809e-05,0.00047038462831081,ENSG00000143546,S100A8,1,5,5,5,trans_gene,B Primary vs. A Primary
35.32,-1.81,0.73,-2.48,0.0133105565194498,0.0458268561215004,ENSG00000143627,PKLR,1,5,5,5,trans_gene,B Primary vs. A Primary
3167,-1.11,0.18,-6.25,4.04945463276849e-10,4.38524787077806e-08,ENSG00000143816,WNT9A,1,5,5,5,trans_gene,B Primary vs. A Primary
595.56,-1.52,0.4,-3.85,0.000120454363150496,0.00125443550253345,ENSG00000143847,PPFIA4,1,4,4,4,trans_gene,B Primary vs. A Primary
4178.89,-1.5,0.22,-6.97,3.16395823342009e-12,5.86081631711685e-10,ENSG00000143850,PLEKHA6,1,4,4,4,trans_gene,B Primary vs. A Primary
123.03,1.04,0.41,2.52,0.0117562373539318,0.0416887429392071,ENSG00000143942,CHAC2,2,2,2,2,trans_gene,B Primary vs. A Primary
40754.02,1.26,0.17,7.54,4.74453408563401e-14,1.51803524676263e-11,ENSG00000143947,RPS27A,2,2,2,2,trans_gene,B Primary vs. A Primary
2896.32,1.38,0.19,7.15,8.38609838033857e-13,1.88729452889874e-10,ENSG00000143977,SNRPG,2,2,2,2,trans_gene,B Primary vs. A Primary
46.87,-1.61,0.66,-2.43,0.0151270202486304,0.0504646909463411,ENSG00000144152,FBLN7,2,2,2,2,trans_gene,B Primary vs. A Primary
159.1,-1.1,0.44,-2.5,0.0122861104552355,0.0431654262512616,ENSG00000144395,CCDC150,2,2,2,2,trans_gene,B Primary vs. A Primary
900.67,-1.14,0.24,-4.67,2.96345775848721e-06,6.77265557207515e-05,ENSG00000145016,RUBCN,3,2,2,2,trans_gene,B Primary vs. A Primary
396.04,-1.15,0.42,-2.75,0.00587406058600152,0.0248856530032288,ENSG00000145020,AMT,3,2,2,2,trans_gene,B Primary vs. A Primary
171.16,-1.43,0.51,-2.81,0.00502105611876532,0.0221800916735367,ENSG00000145075,CCDC39,3,,,,trans_gene,B Primary vs. A Primary
6.14,-4.09,1.86,-2.19,0.0281741364722514,,ENSG00000145087,STXBP5L,3,2,2,2,trans_gene,B Primary vs. A Primary
277.33,-1.45,0.42,-3.49,0.000487854660146769,0.00374075049321689,ENSG00000145113,MUC4,3,2,2,2,trans_gene,B Primary vs. A Primary
573.4,-1.47,0.3,-4.93,8.28346788893056e-07,2.52650686906118e-05,ENSG00000145198,VWA5B2,3,2,2,2,trans_gene,B Primary vs. A Primary
198.69,-1.05,0.34,-3.08,0.00207941783876965,0.0115161464729344,ENSG00000145362,ANK2,4,2,2,2,trans_gene,B Primary vs. A Primary
87861.19,1,0.19,5.4,6.66898908474116e-08,3.14218148281316e-06,ENSG00000145425,RPS3A,4,2,2,2,trans_gene,B Primary vs. A Primary
67.83,-1.66,0.59,-2.83,0.0046432099674344,0.0208814400147069,ENSG00000145536,ADAMTS16,5,3,3,4,trans_gene,B Primary vs. A Primary
39746.7,1.17,0.2,5.83,5.52970900259237e-09,3.91192177580379e-07,ENSG00000145592,RPL37,5,3,3,4,trans_gene,B Primary vs. A Primary
807.52,-1.19,0.33,-3.62,0.000297372526086898,0.00252649995307867,ENSG00000145819,ARHGAP26,5,2,2,2,trans_gene,B Primary vs. A Primary
1182.3,-1.15,0.22,-5.31,1.11718182805929e-07,4.86925256204912e-06,ENSG00000145868,FBXO38,5,2,2,2,trans_gene,B Primary vs. A Primary
293.81,-1.15,0.31,-3.72,0.00020240638452345,0.00187903925391719,ENSG00000145936,KCNMB1,5,2,2,2,trans_gene,B Primary vs. A Primary
148.6,-1.21,0.43,-2.78,0.0053881762673992,0.0233614861387268,ENSG00000145949,MYLK4,6,3,3,3,trans_gene,B Primary vs. A Primary
92.48,-1.13,0.49,-2.31,0.0208854849646343,0.0640080777799647,ENSG00000146197,SCUBE3,6,3,3,3,trans_gene,B Primary vs. A Primary
787.45,1.28,0.26,4.97,6.52800538320628e-07,2.08392879330563e-05,ENSG00000146733,PSPH,7,2,3,3,cis_gene,B Primary vs. A Primary
