ens_gene_id,logFC,logCPM,F,PValue,FDR
ENSG00000204619,-14.697653035172,4.3844573052694,2570.87022145603,8.12439178202536e-19,1.27366089966812e-14
ENSG00000206503,-5.77121917658807,6.57297830470156,1377.3917128793,1.04337919556361e-16,8.17852782442538e-13
ENSG00000204525,-5.71336823254296,5.8329286585024,1029.75893203056,9.92952448826785e-16,5.18883851341917e-12
ENSG00000006125,11.4832999968273,7.159722648137,922.62285882724,2.32011901962889e-15,9.09312646768052e-12
ENSG00000161970,-4.96826592854265,8.11056706665406,841.593794148953,4.71441154146349e-15,1.47815659471046e-11
ENSG00000181222,13.378255956887,6.28730670399729,771.238302709041,9.23437793054096e-15,1.85794855476222e-11
ENSG00000136485,10.7350668829451,6.54633556128509,766.325358058993,9.69980474422106e-15,1.85794855476222e-11
ENSG00000158195,13.3927933299472,6.98151276743392,749.191971895596,1.15425850367257e-14,1.85794855476222e-11
ENSG00000177954,-5.94068924166915,7.95530691233596,748.482035980496,1.16270513197284e-14,1.85794855476222e-11
ENSG00000133401,10.7839714868591,6.42461129727685,737.558321419071,1.30186863176382e-14,1.85794855476222e-11
ENSG00000110367,10.1543827095026,7.15494204709639,737.426627566199,1.30365721135322e-14,1.85794855476222e-11
ENSG00000167674,10.6447628911908,5.97881938787396,683.634940995003,2.33279373539708e-14,3.04760061581834e-11
ENSG00000171863,-5.77826639494869,8.06517666365534,654.90669356164,3.24293118792239e-14,3.85661042139211e-11
ENSG00000170265,9.95321648619315,5.85902016219665,649.787993767657,3.44406110221914e-14,3.85661042139211e-11
ENSG00000124614,-5.14860678023631,8.22556239809617,630.135623139295,4.3582252171602e-14,4.55492644862803e-11
ENSG00000204439,-11.3514978952586,2.36989025015911,596.942211793227,6.59605806666961e-14,5.88101799124553e-11
ENSG00000204498,-10.8405843491951,2.43795323992871,593.613109889489,6.88447659396338e-14,5.88101799124553e-11
ENSG00000204642,-7.2482937760705,3.93387255115454,593.288393045009,6.91336156584125e-14,5.88101799124553e-11
ENSG00000185340,9.90316240282072,5.60791946606727,590.926766062228,7.12759723376061e-14,5.88101799124553e-11
ENSG00000204592,-12.0651277137313,5.41676973197051,569.293023279321,9.4802081428843e-14,7.43106115279986e-11
ENSG00000272886,13.4223386091823,4.55932967231524,667.015512350803,1.19508619152023e-13,8.92160296402981e-11
ENSG00000260914,13.2346056827734,4.37133899279591,642.588797114861,1.56283788782705e-13,1.0629077600461e-10
ENSG00000204267,-5.15313792688983,2.88622392573149,531.014397477032,1.61319534556637e-13,1.0629077600461e-10
ENSG00000151474,8.28987676680222,7.00439774285047,530.412700377783,1.62721096135144e-13,1.0629077600461e-10
ENSG00000197903,14.6427628881444,5.78082711191675,619.662469074901,2.02901889475412e-13,1.27235716852241e-10
ENSG00000113494,9.19607547353699,6.60352664326147,502.31743812113,2.46403776482981e-13,1.44556040569608e-10
ENSG00000071894,9.36478159923846,7.01603882360715,501.636261171788,2.48964284963922e-13,1.44556040569608e-10
ENSG00000268043,10.022771652225,6.85831265969207,485.997719992897,3.16864764230847e-13,1.77410318173107e-10
ENSG00000142409,7.75378924804024,4.91733858120039,469.92716551903,4.09231099591021e-13,2.1395214029731e-10
ENSG00000102221,10.3705294263089,4.27778357024587,469.897807712374,4.09425541169822e-13,2.1395214029731e-10
ENSG00000085719,8.38876946182362,5.97322159311662,465.586473263213,4.39144781698723e-13,2.22079765893254e-10
ENSG00000263001,10.389301625713,7.51086337648598,404.676589837345,1.27182434709412e-12,6.23074696543581e-10
ENSG00000084207,-3.73605220947365,6.92405316783112,398.806507915442,1.42046196710737e-12,6.38491955012927e-10
ENSG00000223501,-5.22919262944312,3.87873231304086,398.688182137207,1.42365319556663e-12,6.38491955012927e-10
ENSG00000204435,-6.29729058152837,4.91878124185868,398.620655976684,1.42547798848328e-12,6.38491955012927e-10
ENSG00000076351,5.60392399206669,5.23250837659849,388.667763658075,1.72570518458458e-12,7.51496671631459e-10
ENSG00000169609,4.89285256516779,6.3246724324608,383.931890484007,1.89315029263883e-12,8.02132895613483e-10
ENSG00000143401,6.40226034823861,7.83817832652247,375.115233192894,2.2560463750628e-12,9.30737868996305e-10
ENSG00000142867,-4.36519137415017,4.00352616058983,372.260755784628,2.38987966809404e-12,9.51079754554525e-10
ENSG00000145012,5.93568350150021,5.87660502006239,371.507203589699,2.42668815348479e-12,9.51079754554525e-10
ENSG00000181350,8.43415874907355,7.94787405219507,364.142556840697,2.82213935176855e-12,1.07908972238233e-09
ENSG00000273749,6.56416267200199,7.05762022446231,352.170682788968,3.6301842710495e-12,1.34949986229499e-09
ENSG00000160948,-3.55416816128117,6.5684239470118,351.261496878772,3.70150501235469e-12,1.34949986229499e-09
ENSG00000204576,-6.61150361134119,1.31632016550174,346.847669585957,4.07098575051048e-12,1.4504737184262e-09
ENSG00000196700,4.33617728937607,6.41950803397782,322.559193801352,7.02285716725873e-12,2.44660737358034e-09
ENSG00000258873,-6.91239710657966,0.961255235893943,319.189299958417,7.59820438109595e-12,2.58950108874872e-09
ENSG00000068400,5.25460645807444,4.89283978012294,313.286804509327,8.73873758308492e-12,2.8888328734006e-09
ENSG00000037749,8.89026196069569,3.7224491041103,312.37001498438,8.93265542017282e-12,2.8888328734006e-09
ENSG00000278318,9.80762992438839,2.86333600305675,310.591719014222,9.32279168378588e-12,2.8888328734006e-09
ENSG00000241553,4.65024307429046,6.82087628880546,310.404817953738,9.36489940296232e-12,2.8888328734006e-09
ENSG00000272391,7.04284906164997,6.84827057654413,310.259114233289,9.39787437286666e-12,2.8888328734006e-09
ENSG00000184983,-5.11076836728041,3.66269110077093,308.747260960341,9.74786800686003e-12,2.93879474506817e-09
ENSG00000087087,4.4654952061198,7.48492241685128,307.13700134305,1.01368986748925e-11,2.99841812313755e-09
ENSG00000186919,13.5097608542551,4.64686110995873,351.766319249089,1.14923905021434e-11,3.33641122040929e-09
ENSG00000204469,-5.25553356869581,6.21839386037153,300.209332598542,1.20228166920002e-11,3.42693995055432e-09
ENSG00000259316,10.27227787735,3.1426900220856,292.226333819591,1.4704298736353e-11,4.11641591588939e-09
ENSG00000250210,-9.67047264146735,-0.181996765798183,289.053029454514,1.59527276802526e-11,4.38755985690035e-09
ENSG00000163682,-4.02821032613226,8.25790319483218,288.328692459753,1.62541783198739e-11,4.39339230208039e-09
ENSG00000181652,7.67446202019425,3.66192558791204,283.733208725168,1.83232543894719e-11,4.86870608582628e-09
ENSG00000198626,9.27880855488567,5.18327382004623,281.446919525396,1.94621569827508e-11,5.08513725030974e-09
ENSG00000103226,-3.73430608504684,3.94742519824846,278.654317006895,2.096305507584e-11,5.38750515449088e-09
ENSG00000131242,4.06236706846957,5.02597031553716,275.214278844026,2.29944483042215e-11,5.81425751718194e-09
ENSG00000248333,5.30800052599205,4.54421242667297,272.875886962769,2.45019593397059e-11,6.09709867569158e-09
ENSG00000232804,5.15402697726749,8.26322239466415,271.364871180035,2.55352725639689e-11,6.19218775994587e-09
ENSG00000186010,6.67903894972705,6.52917844244997,271.16718818969,2.567405781696e-11,6.19218775994587e-09
ENSG00000185115,-5.21010437764907,2.10836146877953,268.800768320189,2.74031822587925e-11,6.44867786803055e-09
ENSG00000269556,4.92614600443421,4.30696187277678,268.064234336741,2.79678738632802e-11,6.44867786803055e-09
ENSG00000271043,-7.38316962219849,2.97024748985444,267.770305254806,2.81968791956116e-11,6.44867786803055e-09
ENSG00000132297,8.34745794861768,2.64493626223464,267.533517266604,2.83829031634948e-11,6.44867786803055e-09
ENSG00000100242,3.18435049578509,7.71065679571547,265.632667088329,2.99274101445608e-11,6.70245726908972e-09
ENSG00000100403,3.43710077446142,7.24063525790113,264.743269423127,3.06824556021685e-11,6.7747726264112e-09
ENSG00000169499,8.87625278316707,3.65883055388632,262.848657165816,3.23635726347267e-11,7.04671844714736e-09
ENSG00000272602,6.88624160468381,3.20935411174207,262.209993287858,3.29534859551148e-11,7.07687396326486e-09
ENSG00000152242,7.80115083981352,4.42789654789476,259.69408018021,3.53982774198723e-11,7.49917290690998e-09
ENSG00000186350,3.45463600992414,6.96670276001225,258.420984223868,3.6712866444998e-11,7.67396809677646e-09
ENSG00000088888,3.88213812411037,7.16705659082291,257.854959330627,3.73149490693443e-11,7.6971902178962e-09
ENSG00000269313,7.13655270346232,2.10578731385745,255.289042621361,4.01877013500861e-11,8.10798568925193e-09
ENSG00000277669,11.4217807528573,2.55381318735184,294.306957808196,4.03408103439211e-11,8.10798568925193e-09
ENSG00000117479,-5.23078161635865,2.6897466595829,251.895094771162,4.43783681760313e-11,8.79603895701909e-09
ENSG00000164300,4.36042313265674,5.78749807871341,251.412600532961,4.50132052177521e-11,8.79603895701909e-09
ENSG00000104805,3.36655658326486,7.9126006357647,251.08698491794,4.54474169495788e-11,8.79603895701909e-09
ENSG00000048162,5.34490161326646,5.26603686169052,249.812077588463,4.71935605895167e-11,9.02260304099822e-09
ENSG00000070371,8.10162992426863,3.02867275569852,248.597339642815,4.89279610969306e-11,9.24148971224797e-09
ENSG00000137331,-13.6895380903436,3.06954657690269,944.805524934885,5.56156416000604e-11,1.033933568355e-08
ENSG00000258405,6.10923153925133,3.12105788831601,244.067792918707,5.60594203675288e-11,1.033933568355e-08
ENSG00000165282,3.3849704560643,6.41812610266165,243.53038246428,5.69807393887069e-11,1.03870587371716e-08
ENSG00000204371,-3.5928125054145,4.37982670893573,242.513529700072,5.8771098365152e-11,1.05902817134539e-08
ENSG00000269335,8.79830298104152,4.46982575296086,241.168684559335,6.12371717183764e-11,1.08531415966246e-08
ENSG00000160957,4.07771023262315,7.56899065556121,240.96833881574,6.16144416724877e-11,1.08531415966246e-08
ENSG00000262633,9.27859124489396,2.15021421861782,239.071065162704,6.53201011822758e-11,1.13780358470504e-08
ENSG00000165646,-8.73261167728674,0.865803475109557,238.287945697385,6.69224106570869e-11,1.1529039910672e-08
ENSG00000102901,3.64786205060723,5.89037478952983,236.888894269237,6.98965061538084e-11,1.19070833756281e-08
ENSG00000184497,8.10506447129392,2.02850249570076,236.551487035193,7.06358840296874e-11,1.19070833756281e-08
ENSG00000146574,4.28955843022436,5.29867325166998,235.014078061753,7.41184586410451e-11,1.23612242139964e-08
ENSG00000164142,3.94685823297106,5.10419486646458,233.258366754289,7.8334513405598e-11,1.28918712469121e-08
ENSG00000161405,6.50179402605803,2.99774034953368,233.013020584293,7.89449282199122e-11,1.28918712469121e-08
ENSG00000149925,-3.51498500082061,8.04444817390087,229.98697024825,8.69319206138358e-11,1.3935012561874e-08
ENSG00000136098,7.68193413541553,3.41689268457285,229.922940996312,8.71104950605122e-11,1.3935012561874e-08
ENSG00000149428,7.1463724004417,5.6688223341177,227.661620639078,9.36905434862711e-11,1.4754021270905e-08
ENSG00000129667,4.52236206320663,4.87438197971347,227.522754754805,9.41125296351661e-11,1.4754021270905e-08
ENSG00000123560,10.6656024081305,5.38556753432674,226.896096916478,9.60436688055004e-11,1.49076890679587e-08
ENSG00000055208,4.06892251628044,6.49739035033982,226.103396823874,9.85508115855539e-11,1.51468732669287e-08
ENSG00000162736,3.0350232199467,8.06025521134477,224.79363078227,1.02856718302195e-10,1.56551919691602e-08
ENSG00000008086,5.288743876558,4.41953479103651,223.218106020438,1.08319993913597e-10,1.62113206796587e-08
ENSG00000063601,5.10790065580191,5.24698387730998,223.145726973678,1.08578724970605e-10,1.62113206796587e-08
ENSG00000204386,-2.39376971879927,4.85479816913531,219.67491333162,1.21843780402849e-10,1.80202353337309e-08
ENSG00000185499,6.32449425791041,10.3601463763195,219.098961648611,1.24217224858725e-10,1.80451336849968e-08
ENSG00000184166,11.0936345018442,2.22291269012392,250.526950975239,1.2431424621928e-10,1.80451336849968e-08
ENSG00000116120,4.33648497631069,6.22636847298628,218.651505830004,1.26097155556131e-10,1.81360101619584e-08
ENSG00000204257,-4.45970036264483,0.495452928725417,217.007471296167,1.33285097545275e-10,1.89955497656117e-08
ENSG00000204427,-4.21592803272478,3.52854132050832,215.929640419175,1.3824802626643e-10,1.95253541241335e-08
ENSG00000158966,11.6453389519666,2.80362774543408,214.966425352383,1.42860055433671e-10,1.99965811520863e-08
ENSG00000099290,3.40457613763416,5.21742584530406,214.395762767168,1.45674202268493e-10,2.02100395483465e-08
ENSG00000121289,3.2701726156699,5.14676759621127,214.108853125319,1.47112634529242e-10,2.02305681711835e-08
ENSG00000169641,4.0820678824849,3.77620673284506,212.092308439403,1.57686571092794e-10,2.14961076088846e-08
ENSG00000140479,3.35959027562348,6.06930560364315,211.19045272106,1.62690853022224e-10,2.19871077830121e-08
ENSG00000173482,3.58320019922807,6.83422775718801,210.89826401136,1.64350390146895e-10,2.20215475754947e-08
ENSG00000165805,10.1300017422911,2.81223077521451,210.238560222168,1.68167961667617e-10,2.22347853173842e-08
ENSG00000205609,4.34986896028418,6.09761924291935,209.992646800887,1.6961651525753e-10,2.22347853173842e-08
ENSG00000126561,2.95098642575954,6.93348691396623,209.852586444208,1.70447826654309e-10,2.22347853173842e-08
ENSG00000135686,3.24043588163163,5.63926621451419,209.645428280519,1.71685824988387e-10,2.22347853173842e-08
ENSG00000176695,12.1094509524828,3.24340720621011,238.8886820302,1.73033348773418e-10,2.22347853173842e-08
ENSG00000241370,-13.2359327206789,2.63193296200195,739.278967532293,1.80164373927405e-10,2.29629015452027e-08
ENSG00000270800,3.64001864724459,4.96215327353433,206.678620266265,1.90575738196934e-10,2.40939987718818e-08
ENSG00000123908,3.27083034606517,7.57011221398962,206.252406247511,1.93477325869855e-10,2.42651523012937e-08
ENSG00000204287,-12.9093520868222,2.32062226537312,726.497010938725,1.95844277844472e-10,2.43670693949824e-08
ENSG00000101246,5.93854138129167,5.14437227949458,204.773250023636,2.03940475452579e-10,2.51746049895282e-08
ENSG00000013374,3.13912849673385,6.09282310889147,203.226265005912,2.15571428010236e-10,2.64024474759099e-08
ENSG00000137486,3.28715612073392,5.31904892069243,201.99205547004,2.25388508407172e-10,2.739081896356e-08
ENSG00000204574,-3.58186960123627,4.51073873784564,200.470596972258,2.38191265409016e-10,2.87240343678242e-08
ENSG00000125834,3.23698930885416,5.73462465170999,198.642078714209,2.54675914289868e-10,3.04775138039867e-08
ENSG00000175265,12.8549360754876,3.99087576709579,225.61122785955,2.57203060583043e-10,3.05330569221448e-08
ENSG00000100784,5.90444451528162,3.28310782738854,198.180781825839,2.59035311006267e-10,3.05330569221448e-08
ENSG00000165821,7.07643464149455,3.29420554668441,197.828847000571,2.62417813363647e-10,3.07009258216559e-08
ENSG00000184788,-8.42125399269191,-0.136158654706834,196.111363449532,2.79655998898665e-10,3.24753118128472e-08
ENSG00000018610,4.48733299464988,3.68087063217607,194.021490058885,3.02378717629805e-10,3.48558173256063e-08
ENSG00000158406,12.1897342112364,3.32348217024095,219.541109743674,3.10587395573197e-10,3.55407197109563e-08
ENSG00000275013,5.34750119432248,5.16245539278683,190.823253981628,3.41298982282471e-10,3.87720590234949e-08
ENSG00000110696,3.49763848466317,6.8441190859207,188.3889770663,3.74722339903556e-10,4.22627490839428e-08
ENSG00000228198,11.3695115810052,2.50023459042891,213.194203909444,3.80310393759914e-10,4.25866145926727e-08
ENSG00000213588,-7.95690835653894,1.78108296313421,184.211407571037,4.41050752632071e-10,4.90379620497375e-08
ENSG00000126267,-3.90136592215503,4.19429487516548,183.289604908409,4.57410857804323e-10,5.04229222010164e-08
ENSG00000107937,3.2356354117258,7.21872172913717,183.150429053878,4.59939903983246e-10,5.04229222010164e-08
ENSG00000113327,8.11294709859164,2.00983980324355,182.934147543386,4.63901433679306e-10,5.05040470541005e-08
ENSG00000169871,3.3188403062277,6.99981317036864,182.058552046203,4.8033726981817e-10,5.193274054441e-08
ENSG00000267228,6.68580605189178,3.210996393418,179.364337151143,5.35177846223303e-10,5.74656376386488e-08
ENSG00000232196,7.65174619089179,9.63514476109948,177.991564591384,5.6581263997022e-10,6.03418010667561e-08
ENSG00000170892,-2.90532617841955,3.45263830196906,176.563844025065,5.9978862466585e-10,6.35330153303144e-08
ENSG00000083844,4.0059049274838,4.08748913070182,176.203546093829,6.08722338123163e-10,6.40465778171599e-08
ENSG00000213024,2.69632292167625,6.82192688080851,175.71564160499,6.21060243020364e-10,6.49090761988683e-08
ENSG00000205572,-4.28243293251619,1.32183006084772,175.334742608449,6.30888375340475e-10,6.54995831802161e-08
ENSG00000161011,3.33176025903647,8.06762099239875,174.785413358705,6.45372784126899e-10,6.6562560110246e-08
ENSG00000079387,3.46803698431634,4.15182838748423,174.089760300567,6.64256418634059e-10,6.8062404411282e-08
ENSG00000182183,10.4928070466162,1.6159149832957,195.589704950258,6.88047107932351e-10,6.98301482325692e-08
